Web Search interest: weather; traffic; restaurants; gas; movies
California (United States); 2004 - present

Interest over time
Week,weather,traffic,restaurants,gas,movies
2004-01-04 - 2004-01-10,28,8,9,8,23
2004-01-11 - 2004-01-17,23,6,10,9,21
2004-01-18 - 2004-01-24,22,7,9,9,21
2004-01-25 - 2004-01-31,26,7,11,8,22
2004-02-01 - 2004-02-07,23,7,9,7,19
2004-02-08 - 2004-02-14,23,6,15,8,19
2004-02-15 - 2004-02-21,33,8,9,8,23
2004-02-22 - 2004-02-28,42,9,8,10,22
2004-02-29 - 2004-03-06,27,7,10,10,20
2004-03-07 - 2004-03-13,24,7,10,8,24
2004-03-14 - 2004-03-20,22,7,9,9,21
2004-03-21 - 2004-03-27,26,6,10,8,25
2004-03-28 - 2004-04-03,25,8,9,9,20
2004-04-04 - 2004-04-10,22,7,8,10,21
2004-04-11 - 2004-04-17,24,6,8,8,20
2004-04-18 - 2004-04-24,22,7,8,10,22
2004-04-25 - 2004-05-01,25,8,9,9,21
2004-05-02 - 2004-05-08,22,7,10,10,22
2004-05-09 - 2004-05-15,22,6,9,11,20
2004-05-16 - 2004-05-22,21,6,9,12,21
2004-05-23 - 2004-05-29,25,7,9,12,22
2004-05-30 - 2004-06-05,20,7,8,11,25
2004-06-06 - 2004-06-12,21,8,9,9,23
2004-06-13 - 2004-06-19,20,8,9,9,24
2004-06-20 - 2004-06-26,19,8,9,9,24
2004-06-27 - 2004-07-03,20,9,8,10,26
2004-07-04 - 2004-07-10,18,8,10,9,26
2004-07-11 - 2004-07-17,20,7,10,7,24
2004-07-18 - 2004-07-24,19,9,9,9,25
2004-07-25 - 2004-07-31,16,8,10,8,24
2004-08-01 - 2004-08-07,17,7,9,9,23
2004-08-08 - 2004-08-14,30,9,9,8,25
2004-08-15 - 2004-08-21,20,8,9,8,26
2004-08-22 - 2004-08-28,19,8,10,8,22
2004-08-29 - 2004-09-04,32,9,8,9,21
2004-09-05 - 2004-09-11,36,8,8,7,23
2004-09-12 - 2004-09-18,33,7,8,8,22
2004-09-19 - 2004-09-25,27,7,9,9,21
2004-09-26 - 2004-10-02,23,7,8,8,22
2004-10-03 - 2004-10-09,21,7,9,8,21
2004-10-10 - 2004-10-16,24,6,10,10,23
2004-10-17 - 2004-10-23,54,9,9,10,23
2004-10-24 - 2004-10-30,43,7,8,9,23
2004-10-31 - 2004-11-06,28,7,8,8,21
2004-11-07 - 2004-11-13,32,7,10,8,25
2004-11-14 - 2004-11-20,21,7,8,10,22
2004-11-21 - 2004-11-27,33,13,9,10,27
2004-11-28 - 2004-12-04,25,8,7,9,22
2004-12-05 - 2004-12-11,29,7,9,8,23
2004-12-12 - 2004-12-18,22,6,10,9,24
2004-12-19 - 2004-12-25,34,11,9,7,27
2004-12-26 - 2005-01-01,78,14,10,8,30
2005-01-02 - 2005-01-08,59,12,8,9,25
2005-01-09 - 2005-01-15,49,15,9,8,23
2005-01-16 - 2005-01-22,29,8,10,8,25
2005-01-23 - 2005-01-29,34,8,9,8,23
2005-01-30 - 2005-02-05,20,7,10,10,21
2005-02-06 - 2005-02-12,32,6,12,9,22
2005-02-13 - 2005-02-19,45,9,11,8,24
2005-02-20 - 2005-02-26,49,11,9,8,28
2005-02-27 - 2005-03-05,36,7,9,8,22
2005-03-06 - 2005-03-12,26,7,8,8,22
2005-03-13 - 2005-03-19,39,7,10,9,21
2005-03-20 - 2005-03-26,46,8,10,10,24
2005-03-27 - 2005-04-02,34,8,9,9,25
2005-04-03 - 2005-04-09,39,7,10,11,24
2005-04-10 - 2005-04-16,25,6,9,11,22
2005-04-17 - 2005-04-23,33,6,10,10,23
2005-04-24 - 2005-04-30,35,6,9,10,20
2005-05-01 - 2005-05-07,32,6,11,9,22
2005-05-08 - 2005-05-14,28,6,10,9,23
2005-05-15 - 2005-05-21,31,7,9,9,24
2005-05-22 - 2005-05-28,28,9,10,9,24
2005-05-29 - 2005-06-04,22,7,9,8,24
2005-06-05 - 2005-06-11,29,7,10,9,25
2005-06-12 - 2005-06-18,32,8,9,9,25
2005-06-19 - 2005-06-25,24,8,10,8,24
2005-06-26 - 2005-07-02,23,10,10,9,25
2005-07-03 - 2005-07-09,21,9,10,9,25
2005-07-10 - 2005-07-16,27,8,10,9,25
2005-07-17 - 2005-07-23,35,9,10,9,24
2005-07-24 - 2005-07-30,25,10,10,9,24
2005-07-31 - 2005-08-06,22,8,11,9,23
2005-08-07 - 2005-08-13,21,9,11,10,24
2005-08-14 - 2005-08-20,24,7,11,13,24
2005-08-21 - 2005-08-27,22,8,10,11,25
2005-08-28 - 2005-09-03,33,8,9,25,22
2005-09-04 - 2005-09-10,25,7,9,15,22
2005-09-11 - 2005-09-17,25,7,9,12,20
2005-09-18 - 2005-09-24,48,8,10,11,22
2005-09-25 - 2005-10-01,33,9,9,9,23
2005-10-02 - 2005-10-08,34,7,9,11,23
2005-10-09 - 2005-10-15,31,7,9,10,23
2005-10-16 - 2005-10-22,45,9,9,10,23
2005-10-23 - 2005-10-29,40,6,7,10,23
2005-10-30 - 2005-11-05,29,6,10,9,23
2005-11-06 - 2005-11-12,36,7,10,9,27
2005-11-13 - 2005-11-19,27,7,9,8,25
2005-11-20 - 2005-11-26,33,12,9,9,29
2005-11-27 - 2005-12-03,41,8,9,9,24
2005-12-04 - 2005-12-10,34,7,9,9,24
2005-12-11 - 2005-12-17,29,7,9,9,26
2005-12-18 - 2005-12-24,43,9,10,8,29
2005-12-25 - 2005-12-31,65,11,11,8,35
2006-01-01 - 2006-01-07,49,9,9,8,28
2006-01-08 - 2006-01-14,36,6,10,9,25
2006-01-15 - 2006-01-21,31,7,9,9,25
2006-01-22 - 2006-01-28,30,7,10,9,25
2006-01-29 - 2006-02-04,28,7,10,9,24
2006-02-05 - 2006-02-11,25,7,10,8,22
2006-02-12 - 2006-02-18,49,7,12,9,24
2006-02-19 - 2006-02-25,33,7,10,9,24
2006-02-26 - 2006-03-04,57,7,9,9,22
2006-03-05 - 2006-03-11,64,9,9,9,23
2006-03-12 - 2006-03-18,55,8,9,8,22
2006-03-19 - 2006-03-25,47,8,10,8,23
2006-03-26 - 2006-04-01,60,8,10,9,23
2006-04-02 - 2006-04-08,68,8,9,8,22
2006-04-09 - 2006-04-15,65,8,10,9,24
2006-04-16 - 2006-04-22,44,7,9,12,24
2006-04-23 - 2006-04-29,43,6,9,17,22
2006-04-30 - 2006-05-06,30,6,9,14,22
2006-05-07 - 2006-05-13,25,6,11,13,22
2006-05-14 - 2006-05-20,36,6,10,11,23
2006-05-21 - 2006-05-27,42,8,9,11,24
2006-05-28 - 2006-06-03,26,8,9,10,26
2006-06-04 - 2006-06-10,30,7,9,9,25
2006-06-11 - 2006-06-17,30,8,10,9,25
2006-06-18 - 2006-06-24,34,8,10,10,26
2006-06-25 - 2006-07-01,37,10,9,9,26
2006-07-02 - 2006-07-08,27,8,10,9,31
2006-07-09 - 2006-07-15,26,7,9,9,26
2006-07-16 - 2006-07-22,42,8,10,9,27
2006-07-23 - 2006-07-29,63,7,10,10,26
2006-07-30 - 2006-08-05,33,8,11,10,26
2006-08-06 - 2006-08-12,25,7,11,9,25
2006-08-13 - 2006-08-19,21,7,10,8,24
2006-08-20 - 2006-08-26,21,7,10,8,23
2006-08-27 - 2006-09-02,31,9,9,9,23
2006-09-03 - 2006-09-09,28,8,9,9,23
2006-09-10 - 2006-09-16,31,8,10,9,21
2006-09-17 - 2006-09-23,29,7,9,9,22
