DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,,,MAX,HOUR,DATE,,MIN,HOUR,DATE
1/1/2014,RTO,91392.412,89227.554,87668.736,87062.268,87373.595,88632.963,90575.953,91895.899,92502.138,93018.173,93238.325,92739.08,91572.544,90127.954,88964.428,89018.517,91986.3,99585.156,102303.815,101889.004,100727.123,97952.414,93588.866,88722.24,,,102303.815,19,1/1/2014,,87062.268,4,1/1/2014
1/2/2014,RTO,85368.263,83575.648,82946.837,83423.93,85653.425,90873.923,99454.744,105736.494,107147.905,107934.414,108875.027,108880.17,108605.642,108738.89,108636.012,109165.394,112000.142,118005.055,119985.492,119085.645,117009.88,113261.1,108322.288,103424.122,,,119985.492,19,1/2/2014,,82946.837,3,1/2/2014
1/3/2014,RTO,99487.35,97783.51,97746.096,98699.818,101588.998,106824.574,113859,119478.385,121360.553,121534.176,120741.116,119372.298,117650.301,116124.782,114484.787,113710.078,116351.977,124561.53,127294.741,126378.516,125175.236,122125.023,117801.579,112949.177,,,127294.741,19,1/3/2014,,97746.096,3,1/3/2014
1/4/2014,RTO,109090.126,106929.393,105826.647,105685.901,106169.219,107952.747,110848.966,113658.37,114764.416,113031.077,110600.265,107804.887,104405.646,101383.751,99138.88,98275.14,100936.83,108632.598,111467.427,110626.585,109379.869,106999.598,102845.771,98128.582,,,114764.416,9,1/4/2014,,98128.582,24,1/4/2014
1/5/2014,RTO,93565.922,90837.982,89143.401,88219.044,88137.311,89157.683,91258.336,93885.063,96034.405,97815.048,98432.731,98189.475,98137.02,97553.448,97037.81,97171.263,100019.566,105903.865,107094.888,105407.017,103217.08,98927.982,94087.82,89198.695,,,107094.888,19,1/5/2014,,88137.311,5,1/5/2014
1/6/2014,RTO,85504.657,83522.058,82637.689,83287.857,85374.475,90889.688,99324.883,105683.549,107239.28,108904.523,110740.238,111981.587,112684.155,112620.486,112289.285,113163.45,117184.429,125832.1,130536.994,131141.653,130559.635,128841.202,125687.972,121833.708,,,131141.653,20,1/6/2014,,82637.689,3,1/6/2014
1/7/2014,RTO,119951.159,119189.921,119275.233,120128.948,122347.834,126911.066,133606.209,137997.87,137545.961,136586.875,135644.03,134382.174,132611.764,130594.953,128823.938,128079.207,130440.36,137604.377,140510.233,140128.509,138023.189,133810.869,127358.569,121529.092,,,140510.233,19,1/7/2014,,119189.921,2,1/7/2014
1/8/2014,RTO,117713.179,115888.623,115236.851,115158.794,117081.621,121543.547,128630.873,133288.136,132168.05,128615.536,125224.45,122182.555,119198.671,117091.637,115161.28,114694.139,117241.595,123774.213,126135.807,125489.604,123754.716,119471.048,112984.259,106674.756,,,133288.136,8,1/8/2014,,106674.756,24,1/8/2014
1/9/2014,RTO,102282.28,99915.144,98533.007,98572.796,100515.776,105585.857,114640.728,119827.987,118390.606,115512.557,112939.769,109837.772,107214.057,105669.463,104794.044,104857.011,107628.99,114625.16,117239.595,116742.645,115180.735,111192.849,104815.782,98521.932,,,119827.987,8,1/9/2014,,98521.932,24,1/9/2014
1/10/2014,RTO,93841.845,91104.971,89966.642,89497.343,90872.299,95442.693,103748.893,109249.679,109813.81,109716.595,109379.291,108110.759,106814.297,105538.658,103954.243,103600.22,104953.783,109371.828,109440.261,106984.495,104426.6,100704.351,95407.302,89619.463,,,109813.81,9,1/10/2014,,89497.343,4,1/10/2014
1/11/2014,RTO,84372.145,81311.183,79160.37,78196.722,78186.382,79659.927,82434.903,86013.268,89086.389,91646.808,93558.474,93465.054,92400.954,91075.218,89773.648,89270.011,90984.445,94954.903,95934.689,94481.92,93054.202,90190.543,86447.106,82184.937,,,95934.689,19,1/11/2014,,78186.382,5,1/11/2014
