Evaluated at:,Effective:,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,24:00:00
12/31/2013 05:45:00,1/1/2014,91696,89295,88215,88125,88986,90955,94054,97102,98705,98309,96293,94276,92465,90767,89652,89819,93466,101815,104970,105012,104564,101917,97488,92276
12/31/2013 11:45:00,1/1/2014,91700,89154,87592,87031,87582,89376,92022,94583,96155,97007,96918,95974,94312,92665,91481,91464,94601,102532,105349,105148,104502,102236,98200,93481
12/31/2013 17:45:00,1/1/2014,91700,89154,87592,87031,87582,89376,92022,94583,96155,97007,96918,95974,94312,92665,91481,91464,94601,102532,105349,105148,104502,102236,98200,93481
12/31/2013 23:46:00,1/1/2014,90350,87924,86665,86340,87020,88850,91616,94410,96239,96809,96283,94931,93069,91239,89940,89840,92817,100664,104015,103923,103269,100853,96641,91803
1/1/2014 05:45:00,1/1/2014,92150,89996,88357,87907,88126,89552,91976,94655,96709,97068,96490,95177,93376,91545,90211,90094,93465,100457,103832,104027,103429,101003,96802,91667
1/1/2014 11:45:00,1/1/2014,92150,89996,88357,87907,88126,89552,91547,93087,93507,93972,93792,92104,90779,89563,88615,88631,91738,98997,102422,102570,102103,99606,95436,90267
1/1/2014 17:45:00,1/1/2014,92150,89996,88357,87907,88126,89552,91547,93087,93507,93972,93792,93018,91647,90286,89377,88929,93222,100929,104289,104379,103868,101337,97132,91929
1/1/2014 23:45:00,1/1/2014,92150,89996,88357,87907,88126,89552,91547,93087,93507,93972,93792,93018,91647,90286,89377,88929,93222,100929,103048,102584,101547,99016,94264,89470
1/1/2014 05:45:00,1/2/2014,87964,85548,84625,84707,86568,91561,99600,104733,105340,105079,104737,103793,102685,101792,100965,101021,104077,111513,114347,113718,112774,109734,104270,98450
1/1/2014 11:45:00,1/2/2014,88157,86268,85505,85710,87586,92945,101081,106037,106600,106331,105887,104946,103902,103028,102259,102749,105841,113446,116093,115368,114018,110702,104420,98232
1/1/2014 17:45:00,1/2/2014,88557,86668,85905,86110,87986,93345,101181,106137,106700,106431,105987,105046,104002,103128,102359,102849,105941,113546,116193,115468,114118,110802,104520,98332
1/1/2014 23:45:00,1/2/2014,87139,85088,84350,84604,86557,91926,100370,105409,105931,105599,105245,104321,103268,102365,101592,101852,104918,112747,115443,114657,113289,110035,104043,97683
1/2/2014 05:45:00,1/2/2014,86486,84157,83498,84384,86333,91853,100427,105540,106671,106368,106048,105112,104061,103155,102384,102654,105688,113271,116083,115353,114026,110770,104983,98973
1/2/2014 11:45:00,1/2/2014,86486,84157,83498,84384,86333,91853,101318,106899,107692,108839,109645,109601,107446,105856,104396,103816,106256,113161,116308,115852,114611,111350,105902,100000
1/2/2014 17:45:00,1/2/2014,86486,84157,83498,84384,86333,91853,101318,106899,107692,108839,109645,109601,109230,109356,109525,109860,111688,118564,121426,120746,119301,115927,110332,104265
1/2/2014 23:45:00,1/2/2014,86486,84157,83498,84384,86333,91853,101318,106899,107692,108839,109645,109601,109230,109356,109525,109860,111688,118564,120436,119817,118375,114996,109392,103319
1/2/2014 05:45:00,1/3/2014,96347,94393,93967,94595,97042,102493,110940,116649,117459,117112,116455,115214,113504,112037,110798,110483,113270,120312,122751,121745,120381,117850,113491,108353
1/2/2014 11:45:00,1/3/2014,96347,94393,93967,94595,97042,102493,110940,116649,117459,117112,116455,115214,113504,112037,110798,110483,113270,120312,122751,121745,120381,117850,113491,108353
