Day,Past 90 days
2014-04-24,30
2014-04-25,43
2014-04-26,47
2014-04-27,37
2014-04-28,38
2014-04-29,51
2014-04-30,57
2014-05-01,38
2014-05-02,39
2014-05-03,35
2014-05-04,38
2014-05-05,28
2014-05-06,29
2014-05-07,40
2014-05-08,38
2014-05-09,45
2014-05-10,59
2014-05-11,33
2014-05-12,38
2014-05-13,43
2014-05-14,46
2014-05-15,41
2014-05-16,45
2014-05-17,29
2014-05-18,32
2014-05-19,28
2014-05-20,27
2014-05-21,47
2014-05-22,75
2014-05-23,39
2014-05-24,36
2014-05-25,21
2014-05-26,33
2014-05-27,45
2014-05-28,37
2014-05-29,38
2014-05-30,41
2014-05-31,23
2014-06-01,20
2014-06-02,25
2014-06-03,32
2014-06-04,27
2014-06-05,31
2014-06-06,20
2014-06-07,26
2014-06-08,24
2014-06-09,37
2014-06-10,43
2014-06-11,43
2014-06-12,40
2014-06-13,49
2014-06-14,25
2014-06-15,23
2014-06-16,26
2014-06-17,31
2014-06-18,36
2014-06-19,56
2014-06-20,25
2014-06-21,43
2014-06-22,27
2014-06-23,19
2014-06-24,24
2014-06-25,33
2014-06-26,36
2014-06-27,28
2014-06-28,18
2014-06-29,20
2014-06-30,32
2014-07-01,37
2014-07-02,73
2014-07-03,100
2014-07-04,87
2014-07-05,31
2014-07-06,22
2014-07-07,30
2014-07-08,28
2014-07-09,64
2014-07-10,38
2014-07-11,27
2014-07-12,22
2014-07-13,32
2014-07-14,52
2014-07-15,57
2014-07-16,29
2014-07-17,17
2014-07-18,22
2014-07-19,28
2014-07-20,29
2014-07-21,23
2014-07-22,22
2014-07-23,26
2014-07-24,43
2014-07-25,29
2014-07-26,55
2014-07-27,39
2014-07-28,41
2014-07-29,28
2014-07-30,23
2014-07-31,35
2014-08-01,56
2014-08-02,45
2014-08-03, 
2014-08-04, 
