Day,Past 90 days
2014-04-24,92
2014-04-25,93
2014-04-26,89
2014-04-27,92
2014-04-28,99
2014-04-29,96
2014-04-30,95
2014-05-01,97
2014-05-02,96
2014-05-03,87
2014-05-04,88
2014-05-05,98
2014-05-06,99
2014-05-07,95
2014-05-08,93
2014-05-09,93
2014-05-10,86
2014-05-11,85
2014-05-12,94
2014-05-13,95
2014-05-14,93
2014-05-15,93
2014-05-16,93
2014-05-17,91
2014-05-18,93
2014-05-19,97
2014-05-20,97
2014-05-21,94
2014-05-22,97
2014-05-23,100
2014-05-24,93
2014-05-25,92
2014-05-26,99
2014-05-27,98
2014-05-28,92
2014-05-29,92
2014-05-30,97
2014-05-31,93
2014-06-01,89
2014-06-02,96
2014-06-03,97
2014-06-04,92
2014-06-05,92
2014-06-06,92
2014-06-07,86
2014-06-08,86
2014-06-09,91
2014-06-10,91
2014-06-11,92
2014-06-12,90
2014-06-13,93
2014-06-14,91
2014-06-15,89
2014-06-16,93
2014-06-17,91
2014-06-18,90
2014-06-19,91
2014-06-20,93
2014-06-21,86
2014-06-22,88
2014-06-23,91
2014-06-24,89
2014-06-25,91
2014-06-26,85
2014-06-27,92
2014-06-28,88
2014-06-29,90
2014-06-30,96
2014-07-01,93
2014-07-02,93
2014-07-03,97
2014-07-04,89
2014-07-05,91
2014-07-06,88
2014-07-07,97
2014-07-08,88
2014-07-09,89
2014-07-10,93
2014-07-11,89
2014-07-12,84
2014-07-13,86
2014-07-14,92
2014-07-15,87
2014-07-16,90
2014-07-17,89
2014-07-18,90
2014-07-19,88
2014-07-20,87
2014-07-21,98
2014-07-22,94
2014-07-23,97
2014-07-24,91
2014-07-25,92
2014-07-26,85
2014-07-27,86
2014-07-28,97
2014-07-29,94
2014-07-30,98
2014-07-31,98
2014-08-01,100
2014-08-02,87
2014-08-03,85
2014-08-04,94
2014-08-05,99
2014-08-06,97
2014-08-07,93
2014-08-08,91
2014-08-09,82
2014-08-10,80
2014-08-11,96
2014-08-12,92
2014-08-13,94
2014-08-14,95
2014-08-15,90
2014-08-16,83
2014-08-17,81
2014-08-18,97
2014-08-19,99
2014-08-20,91
2014-08-21,95
2014-08-22,92
2014-08-23,81
2014-08-24,79
2014-08-25,94
2014-08-26,95
2014-08-27,96
2014-08-28,95
2014-08-29,92
2014-08-30,83
2014-08-31,81
2014-09-01,92
2014-09-02,98
2014-09-03,98
2014-09-04,95
2014-09-05,90
2014-09-06,84
2014-09-07,78
2014-09-08,97
2014-09-09,95
2014-09-10,94
2014-09-11,95
2014-09-12,95
2014-09-13,81
2014-09-14,81
