Day,Past 90 days
2014-04-24,34
2014-04-25,43
2014-04-26,34
2014-04-27,55
2014-04-28,100
2014-04-29,100
2014-04-30,68
2014-05-01,49
2014-05-02,46
2014-05-03,44
2014-05-04,41
2014-05-05,43
2014-05-06,35
2014-05-07,31
2014-05-08,35
2014-05-09,56
2014-05-10,64
2014-05-11,48
2014-05-12,37
2014-05-13,47
2014-05-14,74
2014-05-15,46
2014-05-16,46
2014-05-17,44
2014-05-18,33
2014-05-19,32
2014-05-20,25
2014-05-21,42
2014-05-22,54
2014-05-23,25
2014-05-24,23
2014-05-25,36
2014-05-26,36
2014-05-27,39
2014-05-28,38
2014-05-29,38
2014-05-30,32
2014-05-31,30
2014-06-01,39
2014-06-02,35
2014-06-03,35
2014-06-04,76
2014-06-05,57
2014-06-06,28
2014-06-07,34
2014-06-08,55
2014-06-09,33
2014-06-10,50
2014-06-11,49
2014-06-12,32
2014-06-13,36
2014-06-14,21
2014-06-15,23
2014-06-16,29
2014-06-17,27
2014-06-18,31
2014-06-19,46
2014-06-20,49
2014-06-21,39
2014-06-22,30
2014-06-23,39
2014-06-24,48
2014-06-25,30
2014-06-26,27
2014-06-27,33
2014-06-28,46
2014-06-29,40
2014-06-30,29
2014-07-01,41
2014-07-02,52
2014-07-03,32
2014-07-04,26
2014-07-05,25
2014-07-06,26
2014-07-07,32
2014-07-08,52
2014-07-09,24
2014-07-10,22
2014-07-11,21
2014-07-12,28
2014-07-13,41
2014-07-14,53
2014-07-15,30
2014-07-16,26
2014-07-17,23
2014-07-18,42
2014-07-19,43
2014-07-20,28
2014-07-21, 
2014-07-22, 
2014-07-23, 
