Web Search interest: weather
Maryland (United States); Past 90 days

Interest over time
Day,Past 90 days
2014-04-24,44
2014-04-25,62
2014-04-26,58
2014-04-27,44
2014-04-28,54
2014-04-29,54
2014-04-30,80
2014-05-01,54
2014-05-02,43
2014-05-03,47
2014-05-04,44
2014-05-05,42
2014-05-06,41
2014-05-07,54
2014-05-08,48
2014-05-09,54
2014-05-10,60
2014-05-11,35
2014-05-12,53
2014-05-13,51
2014-05-14,55
2014-05-15,65
2014-05-16,64
2014-05-17,41
2014-05-18,37
2014-05-19,40
2014-05-20,38
2014-05-21,50
2014-05-22,61
2014-05-23,39
2014-05-24,39
2014-05-25,29
2014-05-26,31
2014-05-27,59
2014-05-28,47
2014-05-29,48
2014-05-30,40
2014-05-31,28
2014-06-01,28
2014-06-02,29
2014-06-03,42
2014-06-04,38
2014-06-05,41
2014-06-06,21
2014-06-07,26
2014-06-08,37
2014-06-09,42
2014-06-10,42
2014-06-11,49
2014-06-12,52
2014-06-13,56
2014-06-14,32
2014-06-15,26
2014-06-16,31
2014-06-17,35
2014-06-18,39
2014-06-19,64
2014-06-20,36
2014-06-21,53
2014-06-22,30
2014-06-23,26
2014-06-24,29
2014-06-25,40
2014-06-26,33
2014-06-27,27
2014-06-28,26
2014-06-29,31
2014-06-30,37
2014-07-01,39
2014-07-02,67
2014-07-03,100
2014-07-04,66
2014-07-05,28
2014-07-06,28
2014-07-07,31
2014-07-08,47
2014-07-09,55
2014-07-10,44
2014-07-11,33
2014-07-12,37
2014-07-13,38
2014-07-14,71
2014-07-15,63
2014-07-16,31
2014-07-17,24
2014-07-18,27
2014-07-19,34
2014-07-20,40
2014-07-21, 
2014-07-22, 
2014-07-23, 


Top metros for Past 90 days
Metro,Past 90 days
Salisbury MD,100
Washington DC (Hagerstown MD),78
Baltimore MD,71


Top cities for Past 90 days
City,Past 90 days
Colmar Manor,100
Ocean City,82
Lexington Park,68
Annapolis,68
Lutherville-Timonium,66
Potomac,65
Bethesda,65
Ellicott City,64
Severna Park,62
Hagerstown,62
Linthicum Heights,62
Chevy Chase,61
Cockeysville,61
Easton,59
North Bethesda,59



Top searches for Past 90 days
md weather,100
baltimore weather,80
the weather,55
weather channel,55
weather dc,50
weather forecast,40
weather maryland,30
washington weather,25
weather radar,20
washington dc weather,20
ocean city weather,15
the weather channel,15
news,15
weather underground,15
google weather,15
wbal weather,15
wbal,15
national weather,15
hourly weather,10
ocean city md,10
annapolis weather,10
weather map,10
weather today,10
baltimore md weather,10
noaa,10
noaa weather,10
yahoo,10
yahoo weather,10
frederick weather,10
weather in baltimore,10
national weather service,5
local weather,5
weather new york,5
rockville weather,5
frederick md weather,5
weather silver spring,5
weather bethesda,5
weather tomorrow,5
cnn,5
maps,5
weather philadelphia,5
wjz weather,5
weather in dc,5
wjz,5
orioles,5
columbia weather,5
baltimore weather forecast,5
weather.com,5
weather detroit,5



Rising searches for Past 90 days
ocean city weather,+500%
ocean city md,+450%
orioles,+300%
virginia beach weather,+200%
baltimore weather radar,+160%
weather detroit,+140%
weather radar,+130%
weather for today,+80%
baltimore weather hourly,+50%
maps,+40%




