Day,Past 90 days
2014-04-24,44
2014-04-25,62
2014-04-26,58
2014-04-27,44
2014-04-28,54
2014-04-29,54
2014-04-30,80
2014-05-01,54
2014-05-02,43
2014-05-03,47
2014-05-04,44
2014-05-05,42
2014-05-06,41
2014-05-07,54
2014-05-08,48
2014-05-09,54
2014-05-10,60
2014-05-11,35
2014-05-12,53
2014-05-13,51
2014-05-14,55
2014-05-15,65
2014-05-16,64
2014-05-17,41
2014-05-18,37
2014-05-19,40
2014-05-20,38
2014-05-21,50
2014-05-22,61
2014-05-23,39
2014-05-24,39
2014-05-25,29
2014-05-26,31
2014-05-27,59
2014-05-28,47
2014-05-29,48
2014-05-30,40
2014-05-31,28
2014-06-01,28
2014-06-02,29
2014-06-03,42
2014-06-04,38
2014-06-05,41
2014-06-06,21
2014-06-07,26
2014-06-08,37
2014-06-09,42
2014-06-10,42
2014-06-11,49
2014-06-12,52
2014-06-13,56
2014-06-14,32
2014-06-15,26
2014-06-16,31
2014-06-17,35
2014-06-18,39
2014-06-19,64
2014-06-20,36
2014-06-21,53
2014-06-22,30
2014-06-23,26
2014-06-24,29
2014-06-25,40
2014-06-26,33
2014-06-27,27
2014-06-28,26
2014-06-29,31
2014-06-30,37
2014-07-01,39
2014-07-02,67
2014-07-03,100
2014-07-04,66
2014-07-05,28
2014-07-06,28
2014-07-07,31
2014-07-08,47
2014-07-09,55
2014-07-10,44
2014-07-11,33
2014-07-12,37
2014-07-13,38
2014-07-14,71
2014-07-15,63
2014-07-16,31
2014-07-17,24
2014-07-18,27
2014-07-19,34
2014-07-20,40
2014-07-21,28
2014-07-22,27
2014-07-23,40
2014-07-24,41
2014-07-25,29
2014-07-26,46
2014-07-27,56
2014-07-28,38
2014-07-29,27
2014-07-30,32
2014-07-31,33
2014-08-01,56
2014-08-02,53
2014-08-03, 
2014-08-04, 
