Day,Past 90 days
2014-04-24,50
2014-04-25,61
2014-04-26,85
2014-04-27,86
2014-04-28,53
2014-04-29,49
2014-04-30,49
2014-05-01,51
2014-05-02,57
2014-05-03,84
2014-05-04,84
2014-05-05,52
2014-05-06,49
2014-05-07,50
2014-05-08,51
2014-05-09,59
2014-05-10,83
2014-05-11,87
2014-05-12,53
2014-05-13,48
2014-05-14,50
2014-05-15,54
2014-05-16,65
2014-05-17,90
2014-05-18,90
2014-05-19,56
2014-05-20,52
2014-05-21,50
2014-05-22,54
2014-05-23,66
2014-05-24,94
2014-05-25,97
2014-05-26,90
2014-05-27,59
2014-05-28,53
2014-05-29,55
2014-05-30,65
2014-05-31,89
2014-06-01,88
2014-06-02,60
2014-06-03,55
2014-06-04,55
2014-06-05,59
2014-06-06,68
2014-06-07,89
2014-06-08,92
2014-06-09,61
2014-06-10,57
2014-06-11,57
2014-06-12,57
2014-06-13,67
2014-06-14,88
2014-06-15,87
2014-06-16,60
2014-06-17,60
2014-06-18,61
2014-06-19,64
2014-06-20,73
2014-06-21,93
2014-06-22,92
2014-06-23,63
2014-06-24,60
2014-06-25,60
2014-06-26,61
2014-06-27,72
2014-06-28,92
2014-06-29,94
2014-06-30,63
2014-07-01,60
2014-07-02,64
2014-07-03,69
2014-07-04,86
2014-07-05,91
2014-07-06,97
2014-07-07,66
2014-07-08,61
2014-07-09,58
2014-07-10,61
2014-07-11,69
2014-07-12,88
2014-07-13,90
2014-07-14,65
2014-07-15,60
2014-07-16,63
2014-07-17,61
2014-07-18,73
2014-07-19,99
2014-07-20,100
2014-07-21,65
2014-07-22,62
2014-07-23,65
2014-07-24,73
2014-07-25,82
2014-07-26,100
2014-07-27,100
2014-07-28,74
2014-07-29,72
2014-07-30,70
2014-07-31,70
2014-08-01,79
2014-08-02,97
2014-08-03,95
2014-08-04,69
2014-08-05,66
2014-08-06,66
2014-08-07,66
2014-08-08,77
2014-08-09,97
2014-08-10,93
2014-08-11,70
2014-08-12,71
2014-08-13,64
2014-08-14,68
2014-08-15,80
2014-08-16,93
2014-08-17,91
2014-08-18,65
2014-08-19,61
2014-08-20,59
2014-08-21,62
2014-08-22,69
2014-08-23,90
2014-08-24,84
2014-08-25,60
2014-08-26,57
2014-08-27,55
2014-08-28,58
2014-08-29,69
2014-08-30,83
2014-08-31,84
2014-09-01,65
2014-09-02,54
2014-09-03,54
2014-09-04,57
2014-09-05,62
2014-09-06,83
2014-09-07,79
2014-09-08,56
2014-09-09,53
2014-09-10,53
2014-09-11,56
2014-09-12,66
2014-09-13,85
2014-09-14,81
