Day,Past 90 days
2014-04-24,43
2014-04-25,48
2014-04-26,53
2014-04-27,40
2014-04-28,46
2014-04-29,54
2014-04-30,58
2014-05-01,52
2014-05-02,48
2014-05-03,47
2014-05-04,49
2014-05-05,39
2014-05-06,37
2014-05-07,43
2014-05-08,50
2014-05-09,51
2014-05-10,58
2014-05-11,40
2014-05-12,51
2014-05-13,49
2014-05-14,49
2014-05-15,56
2014-05-16,61
2014-05-17,48
2014-05-18,41
2014-05-19,46
2014-05-20,43
2014-05-21,50
2014-05-22,60
2014-05-23,54
2014-05-24,66
2014-05-25,41
2014-05-26,36
2014-05-27,54
2014-05-28,46
2014-05-29,43
2014-05-30,39
2014-05-31,36
2014-06-01,31
2014-06-02,35
2014-06-03,51
2014-06-04,42
2014-06-05,44
2014-06-06,29
2014-06-07,29
2014-06-08,35
2014-06-09,50
2014-06-10,44
2014-06-11,44
2014-06-12,44
2014-06-13,59
2014-06-14,38
2014-06-15,34
2014-06-16,34
2014-06-17,38
2014-06-18,44
2014-06-19,54
2014-06-20,33
2014-06-21,36
2014-06-22,34
2014-06-23,31
2014-06-24,31
2014-06-25,46
2014-06-26,36
2014-06-27,34
2014-06-28,26
2014-06-29,27
2014-06-30,35
2014-07-01,47
2014-07-02,84
2014-07-03,100
2014-07-04,92
2014-07-05,36
2014-07-06,27
2014-07-07,34
2014-07-08,42
2014-07-09,52
2014-07-10,40
2014-07-11,32
2014-07-12,36
2014-07-13,58
2014-07-14,65
2014-07-15,76
2014-07-16,45
2014-07-17,27
2014-07-18,28
2014-07-19,41
2014-07-20,41
2014-07-21, 
2014-07-22, 
2014-07-23, 
