Day,Past 90 days
2014-04-24,39
2014-04-25,49
2014-04-26,42
2014-04-27,43
2014-04-28,58
2014-04-29,58
2014-04-30,57
2014-05-01,44
2014-05-02,40
2014-05-03,46
2014-05-04,41
2014-05-05,41
2014-05-06,35
2014-05-07,42
2014-05-08,41
2014-05-09,61
2014-05-10,60
2014-05-11,51
2014-05-12,68
2014-05-13,81
2014-05-14,100
2014-05-15,59
2014-05-16,51
2014-05-17,59
2014-05-18,43
2014-05-19,38
2014-05-20,47
2014-05-21,62
2014-05-22,43
2014-05-23,29
2014-05-24,28
2014-05-25,26
2014-05-26,33
2014-05-27,48
2014-05-28,46
2014-05-29,34
2014-05-30,26
2014-05-31,26
2014-06-01,33
2014-06-02,47
2014-06-03,42
2014-06-04,68
2014-06-05,30
2014-06-06,27
2014-06-07,30
2014-06-08,60
2014-06-09,35
2014-06-10,45
2014-06-11,51
2014-06-12,39
2014-06-13,37
2014-06-14,29
2014-06-15,32
2014-06-16,46
2014-06-17,40
2014-06-18,59
2014-06-19,59
2014-06-20,56
2014-06-21,44
2014-06-22,36
2014-06-23,47
2014-06-24,60
2014-06-25,48
2014-06-26,32
2014-06-27,31
2014-06-28,50
2014-06-29,50
2014-06-30,37
2014-07-01,47
2014-07-02,45
2014-07-03,47
2014-07-04,36
2014-07-05,28
2014-07-06,41
2014-07-07,52
2014-07-08,66
2014-07-09,27
2014-07-10,23
2014-07-11,25
2014-07-12,38
2014-07-13,61
2014-07-14,44
2014-07-15,33
2014-07-16,32
2014-07-17,29
2014-07-18,37
2014-07-19,57
2014-07-20,35
2014-07-21,24
2014-07-22,29
2014-07-23,50
2014-07-24,32
2014-07-25,37
2014-07-26,66
2014-07-27,86
2014-07-28,51
2014-07-29,33
2014-07-30,41
2014-07-31,34
2014-08-01,36
2014-08-02,62
2014-08-03, 
2014-08-04, 
