Day,Past 90 days
2014-04-24,50
2014-04-25,68
2014-04-26,66
2014-04-27,54
2014-04-28,62
2014-04-29,64
2014-04-30,71
2014-05-01,61
2014-05-02,57
2014-05-03,60
2014-05-04,60
2014-05-05,48
2014-05-06,44
2014-05-07,58
2014-05-08,58
2014-05-09,67
2014-05-10,80
2014-05-11,52
2014-05-12,67
2014-05-13,69
2014-05-14,68
2014-05-15,77
2014-05-16,75
2014-05-17,59
2014-05-18,58
2014-05-19,53
2014-05-20,52
2014-05-21,65
2014-05-22,79
2014-05-23,58
2014-05-24,62
2014-05-25,39
2014-05-26,42
2014-05-27,76
2014-05-28,62
2014-05-29,54
2014-05-30,47
2014-05-31,36
2014-06-01,39
2014-06-02,46
2014-06-03,58
2014-06-04,54
2014-06-05,50
2014-06-06,36
2014-06-07,33
2014-06-08,59
2014-06-09,58
2014-06-10,57
2014-06-11,70
2014-06-12,67
2014-06-13,72
2014-06-14,49
2014-06-15,39
2014-06-16,50
2014-06-17,51
2014-06-18,68
2014-06-19,79
2014-06-20,45
2014-06-21,58
2014-06-22,50
2014-06-23,43
2014-06-24,48
2014-06-25,62
2014-06-26,46
2014-06-27,39
2014-06-28,37
2014-06-29,53
2014-06-30,47
2014-07-01,56
2014-07-02,83
2014-07-03,100
2014-07-04,81
2014-07-05,39
2014-07-06,41
2014-07-07,46
2014-07-08,68
2014-07-09,54
2014-07-10,44
2014-07-11,41
2014-07-12,50
2014-07-13,74
2014-07-14,75
2014-07-15,69
2014-07-16,41
2014-07-17,35
2014-07-18,40
2014-07-19,59
2014-07-20,51
2014-07-21,37
2014-07-22,37
2014-07-23,58
2014-07-24,43
2014-07-25,39
2014-07-26,68
2014-07-27,85
2014-07-28,69
2014-07-29,43
2014-07-30,48
2014-07-31,52
2014-08-01,71
2014-08-02,73
2014-08-03, 
2014-08-04, 
