Day,Past 90 days
2014-04-24,58
2014-04-25,69
2014-04-26,82
2014-04-27,74
2014-04-28,53
2014-04-29,54
2014-04-30,55
2014-05-01,58
2014-05-02,69
2014-05-03,84
2014-05-04,74
2014-05-05,63
2014-05-06,58
2014-05-07,62
2014-05-08,63
2014-05-09,74
2014-05-10,93
2014-05-11,100
2014-05-12,57
2014-05-13,54
2014-05-14,55
2014-05-15,59
2014-05-16,70
2014-05-17,82
2014-05-18,74
2014-05-19,56
2014-05-20,55
2014-05-21,55
2014-05-22,61
2014-05-23,68
2014-05-24,81
2014-05-25,80
2014-05-26,66
2014-05-27,51
2014-05-28,54
2014-05-29,60
2014-05-30,67
2014-05-31,80
2014-06-01,73
2014-06-02,55
2014-06-03,57
2014-06-04,57
2014-06-05,60
2014-06-06,67
2014-06-07,80
2014-06-08,74
2014-06-09,55
2014-06-10,57
2014-06-11,61
2014-06-12,61
2014-06-13,70
2014-06-14,82
2014-06-15,83
2014-06-16,57
2014-06-17,58
2014-06-18,59
2014-06-19,61
2014-06-20,71
2014-06-21,82
2014-06-22,74
2014-06-23,58
2014-06-24,60
2014-06-25,62
2014-06-26,61
2014-06-27,70
2014-06-28,81
2014-06-29,75
2014-06-30,55
2014-07-01,57
2014-07-02,59
2014-07-03,65
2014-07-04,75
2014-07-05,84
2014-07-06,76
2014-07-07,61
2014-07-08,59
2014-07-09,62
2014-07-10,67
2014-07-11,71
2014-07-12,82
2014-07-13,75
2014-07-14,63
2014-07-15,62
2014-07-16,66
2014-07-17,65
2014-07-18,74
2014-07-19,87
2014-07-20,81
2014-07-21,
2014-07-22,
2014-07-23,
2014-07-24,
2014-07-25,
2014-07-26,
2014-07-27,
2014-07-28,
2014-07-29,
2014-07-30,
2014-07-31,
2014-08-01,
2014-08-02,
2014-08-03, 
2014-08-04, 
