Day,Past 90 days
2014-04-24,56
2014-04-25,59
2014-04-26,47
2014-04-27,41
2014-04-28,54
2014-04-29,52
2014-04-30,68
2014-05-01,68
2014-05-02,63
2014-05-03,51
2014-05-04,42
2014-05-05,52
2014-05-06,59
2014-05-07,56
2014-05-08,62
2014-05-09,62
2014-05-10,48
2014-05-11,44
2014-05-12,58
2014-05-13,61
2014-05-14,69
2014-05-15,68
2014-05-16,70
2014-05-17,53
2014-05-18,47
2014-05-19,55
2014-05-20,57
2014-05-21,55
2014-05-22,67
2014-05-23,93
2014-05-24,58
2014-05-25,46
2014-05-26,66
2014-05-27,63
2014-05-28,59
2014-05-29,68
2014-05-30,65
2014-05-31,49
2014-06-01,43
2014-06-02,55
2014-06-03,59
2014-06-04,58
2014-06-05,59
2014-06-06,69
2014-06-07,53
2014-06-08,50
2014-06-09,58
2014-06-10,58
2014-06-11,64
2014-06-12,70
2014-06-13,74
2014-06-14,59
2014-06-15,48
2014-06-16,57
2014-06-17,58
2014-06-18,57
2014-06-19,64
2014-06-20,74
2014-06-21,58
2014-06-22,50
2014-06-23,54
2014-06-24,57
2014-06-25,62
2014-06-26,64
2014-06-27,74
2014-06-28,62
2014-06-29,53
2014-06-30,57
2014-07-01,58
2014-07-02,64
2014-07-03,100
2014-07-04,65
2014-07-05,51
2014-07-06,84
2014-07-07,69
2014-07-08,59
2014-07-09,58
2014-07-10,65
2014-07-11,75
2014-07-12,62
2014-07-13,44
2014-07-14,60
2014-07-15,65
2014-07-16,60
2014-07-17,64
2014-07-18,78
2014-07-19,67
2014-07-20,58
2014-07-21,70
2014-07-22,70
2014-07-23,75
2014-07-24,86
2014-07-25,100
2014-07-26,86
2014-07-27,75
2014-07-28,76
2014-07-29,67
2014-07-30,71
2014-07-31,78
2014-08-01,100
2014-08-02,80
2014-08-03,71
2014-08-04,78
2014-08-05,67
2014-08-06,65
2014-08-07,73
2014-08-08,91
2014-08-09,75
2014-08-10,73
2014-08-11,75
2014-08-12,79
2014-08-13,74
2014-08-14,74
2014-08-15,85
2014-08-16,74
2014-08-17,66
2014-08-18,69
2014-08-19,68
2014-08-20,68
2014-08-21,69
2014-08-22,86
2014-08-23,72
2014-08-24,58
2014-08-25,74
2014-08-26,72
2014-08-27,73
2014-08-28,74
2014-08-29,97
2014-08-30,66
2014-08-31,59
2014-09-01,70
2014-09-02,69
2014-09-03,67
2014-09-04,69
2014-09-05,75
2014-09-06,61
2014-09-07,52
2014-09-08,75
2014-09-09,75
2014-09-10,71
2014-09-11,68
2014-09-12,79
2014-09-13,60
2014-09-14,52
