Day,Past 90 days
2014-05-05,28
2014-05-06,32
2014-05-07,42
2014-05-08,35
2014-05-09,42
2014-05-10,58
2014-05-11,29
2014-05-12,40
2014-05-13,39
2014-05-14,44
2014-05-15,44
2014-05-16,48
2014-05-17,28
2014-05-18,33
2014-05-19,30
2014-05-20,27
2014-05-21,49
2014-05-22,63
2014-05-23,35
2014-05-24,33
2014-05-25,22
2014-05-26,30
2014-05-27,45
2014-05-28,36
2014-05-29,39
2014-05-30,36
2014-05-31,23
2014-06-01,20
2014-06-02,27
2014-06-03,33
2014-06-04,28
2014-06-05,34
2014-06-06,21
2014-06-07,29
2014-06-08,27
2014-06-09,39
2014-06-10,49
2014-06-11,44
2014-06-12,43
2014-06-13,48
2014-06-14,23
2014-06-15,25
2014-06-16,28
2014-06-17,31
2014-06-18,37
2014-06-19,52
2014-06-20,26
2014-06-21,51
2014-06-22,26
2014-06-23,20
2014-06-24,23
2014-06-25,30
2014-06-26,30
2014-06-27,34
2014-06-28,24
2014-06-29,22
2014-06-30,35
2014-07-01,38
2014-07-02,71
2014-07-03,100
2014-07-04,88
2014-07-05,28
2014-07-06,23
2014-07-07,30
2014-07-08,24
2014-07-09,61
2014-07-10,41
2014-07-11,25
2014-07-12,23
2014-07-13,34
2014-07-14,50
2014-07-15,52
2014-07-16,30
2014-07-17,20
2014-07-18,19
2014-07-19,30
2014-07-20,28
2014-07-21,23
2014-07-22,22
2014-07-23,26
2014-07-24,43
2014-07-25,29
2014-07-26,55
2014-07-27,39
2014-07-28,41
2014-07-29,28
2014-07-30,23
2014-07-31,35
2014-08-01,56
2014-08-02,45
2014-08-03, 
2014-08-04, 
