Day,Past 90 days
2014-05-05,42
2014-05-06,36
2014-05-07,30
2014-05-08,36
2014-05-09,57
2014-05-10,60
2014-05-11,46
2014-05-12,38
2014-05-13,44
2014-05-14,71
2014-05-15,46
2014-05-16,46
2014-05-17,40
2014-05-18,32
2014-05-19,28
2014-05-20,24
2014-05-21,40
2014-05-22,51
2014-05-23,23
2014-05-24,23
2014-05-25,35
2014-05-26,33
2014-05-27,39
2014-05-28,36
2014-05-29,33
2014-05-30,32
2014-05-31,25
2014-06-01,38
2014-06-02,32
2014-06-03,35
2014-06-04,67
2014-06-05,54
2014-06-06,27
2014-06-07,34
2014-06-08,56
2014-06-09,32
2014-06-10,48
2014-06-11,44
2014-06-12,30
2014-06-13,33
2014-06-14,19
2014-06-15,23
2014-06-16,27
2014-06-17,28
2014-06-18,28
2014-06-19,43
2014-06-20,47
2014-06-21,37
2014-06-22,25
2014-06-23,39
2014-06-24,46
2014-06-25,29
2014-06-26,25
2014-06-27,32
2014-06-28,43
2014-06-29,40
2014-06-30,28
2014-07-01,38
2014-07-02,49
2014-07-03,30
2014-07-04,26
2014-07-05,24
2014-07-06,23
2014-07-07,31
2014-07-08,46
2014-07-09,25
2014-07-10,23
2014-07-11,18
2014-07-12,27
2014-07-13,36
2014-07-14,47
2014-07-15,32
2014-07-16,23
2014-07-17,21
2014-07-18,42
2014-07-19,43
2014-07-20,28
2014-07-21,20
2014-07-22,23
2014-07-23,42
2014-07-24,28
2014-07-25,21
2014-07-26,37
2014-07-27,100
2014-07-28,39
2014-07-29,22
2014-07-30,22
2014-07-31,20
2014-08-01,24
2014-08-02,34
2014-08-03, 
2014-08-04, 
