Day,Past 90 days
2014-05-05,42
2014-05-06,43
2014-05-07,54
2014-05-08,48
2014-05-09,56
2014-05-10,62
2014-05-11,36
2014-05-12,52
2014-05-13,53
2014-05-14,56
2014-05-15,69
2014-05-16,66
2014-05-17,41
2014-05-18,40
2014-05-19,42
2014-05-20,39
2014-05-21,53
2014-05-22,62
2014-05-23,42
2014-05-24,38
2014-05-25,29
2014-05-26,31
2014-05-27,60
2014-05-28,48
2014-05-29,52
2014-05-30,41
2014-05-31,29
2014-06-01,29
2014-06-02,30
2014-06-03,44
2014-06-04,37
2014-06-05,42
2014-06-06,22
2014-06-07,29
2014-06-08,42
2014-06-09,43
2014-06-10,43
2014-06-11,50
2014-06-12,53
2014-06-13,57
2014-06-14,34
2014-06-15,28
2014-06-16,33
2014-06-17,36
2014-06-18,39
2014-06-19,65
2014-06-20,36
2014-06-21,55
2014-06-22,33
2014-06-23,27
2014-06-24,29
2014-06-25,41
2014-06-26,33
2014-06-27,27
2014-06-28,24
2014-06-29,33
2014-06-30,38
2014-07-01,42
2014-07-02,70
2014-07-03,100
2014-07-04,70
2014-07-05,28
2014-07-06,29
2014-07-07,33
2014-07-08,48
2014-07-09,54
2014-07-10,47
2014-07-11,37
2014-07-12,38
2014-07-13,41
2014-07-14,71
2014-07-15,66
2014-07-16,33
2014-07-17,26
2014-07-18,27
2014-07-19,36
2014-07-20,41
2014-07-21,28
2014-07-22,27
2014-07-23,40
2014-07-24,41
2014-07-25,29
2014-07-26,46
2014-07-27,56
2014-07-28,38
2014-07-29,27
2014-07-30,32
2014-07-31,33
2014-08-01,56
2014-08-02,53
2014-08-03, 
2014-08-04, 
