Day,Past 90 days
2014-05-05,37
2014-05-06,36
2014-05-07,43
2014-05-08,48
2014-05-09,52
2014-05-10,58
2014-05-11,40
2014-05-12,52
2014-05-13,48
2014-05-14,47
2014-05-15,56
2014-05-16,61
2014-05-17,47
2014-05-18,40
2014-05-19,46
2014-05-20,41
2014-05-21,51
2014-05-22,59
2014-05-23,54
2014-05-24,66
2014-05-25,39
2014-05-26,37
2014-05-27,54
2014-05-28,47
2014-05-29,42
2014-05-30,41
2014-05-31,37
2014-06-01,30
2014-06-02,38
2014-06-03,51
2014-06-04,42
2014-06-05,42
2014-06-06,30
2014-06-07,28
2014-06-08,36
2014-06-09,51
2014-06-10,43
2014-06-11,43
2014-06-12,44
2014-06-13,59
2014-06-14,37
2014-06-15,32
2014-06-16,34
2014-06-17,39
2014-06-18,43
2014-06-19,53
2014-06-20,33
2014-06-21,37
2014-06-22,35
2014-06-23,31
2014-06-24,31
2014-06-25,46
2014-06-26,36
2014-06-27,31
2014-06-28,25
2014-06-29,29
2014-06-30,35
2014-07-01,48
2014-07-02,85
2014-07-03,100
2014-07-04,93
2014-07-05,36
2014-07-06,28
2014-07-07,34
2014-07-08,41
2014-07-09,50
2014-07-10,39
2014-07-11,30
2014-07-12,36
2014-07-13,57
2014-07-14,64
2014-07-15,77
2014-07-16,43
2014-07-17,28
2014-07-18,28
2014-07-19,41
2014-07-20,41
2014-07-21,26
2014-07-22,29
2014-07-23,41
2014-07-24,43
2014-07-25,28
2014-07-26,56
2014-07-27,55
2014-07-28,47
2014-07-29,32
2014-07-30,32
2014-07-31,49
2014-08-01,62
2014-08-02,61
2014-08-03, 
2014-08-04, 
