Day,Past 90 days
2014-05-05,42
2014-05-06,35
2014-05-07,42
2014-05-08,43
2014-05-09,62
2014-05-10,62
2014-05-11,52
2014-05-12,68
2014-05-13,81
2014-05-14,100
2014-05-15,58
2014-05-16,53
2014-05-17,57
2014-05-18,44
2014-05-19,39
2014-05-20,47
2014-05-21,60
2014-05-22,42
2014-05-23,28
2014-05-24,28
2014-05-25,26
2014-05-26,32
2014-05-27,48
2014-05-28,46
2014-05-29,35
2014-05-30,25
2014-05-31,24
2014-06-01,31
2014-06-02,47
2014-06-03,40
2014-06-04,69
2014-06-05,30
2014-06-06,28
2014-06-07,29
2014-06-08,57
2014-06-09,35
2014-06-10,44
2014-06-11,49
2014-06-12,39
2014-06-13,37
2014-06-14,28
2014-06-15,32
2014-06-16,47
2014-06-17,41
2014-06-18,61
2014-06-19,60
2014-06-20,55
2014-06-21,46
2014-06-22,38
2014-06-23,48
2014-06-24,60
2014-06-25,49
2014-06-26,30
2014-06-27,30
2014-06-28,51
2014-06-29,50
2014-06-30,38
2014-07-01,47
2014-07-02,47
2014-07-03,47
2014-07-04,34
2014-07-05,28
2014-07-06,42
2014-07-07,51
2014-07-08,67
2014-07-09,26
2014-07-10,23
2014-07-11,27
2014-07-12,36
2014-07-13,61
2014-07-14,45
2014-07-15,33
2014-07-16,33
2014-07-17,29
2014-07-18,36
2014-07-19,56
2014-07-20,34
2014-07-21,24
2014-07-22,29
2014-07-23,50
2014-07-24,32
2014-07-25,37
2014-07-26,66
2014-07-27,86
2014-07-28,51
2014-07-29,33
2014-07-30,41
2014-07-31,34
2014-08-01,36
2014-08-02,62
2014-08-03, 
2014-08-04, 
