Day,Past 90 days
2014-05-05,47
2014-05-06,45
2014-05-07,55
2014-05-08,55
2014-05-09,67
2014-05-10,81
2014-05-11,51
2014-05-12,65
2014-05-13,66
2014-05-14,68
2014-05-15,75
2014-05-16,73
2014-05-17,58
2014-05-18,55
2014-05-19,53
2014-05-20,51
2014-05-21,62
2014-05-22,78
2014-05-23,56
2014-05-24,59
2014-05-25,38
2014-05-26,41
2014-05-27,76
2014-05-28,62
2014-05-29,52
2014-05-30,45
2014-05-31,37
2014-06-01,38
2014-06-02,46
2014-06-03,57
2014-06-04,51
2014-06-05,48
2014-06-06,37
2014-06-07,33
2014-06-08,58
2014-06-09,55
2014-06-10,56
2014-06-11,68
2014-06-12,63
2014-06-13,72
2014-06-14,49
2014-06-15,38
2014-06-16,48
2014-06-17,50
2014-06-18,67
2014-06-19,78
2014-06-20,44
2014-06-21,59
2014-06-22,47
2014-06-23,41
2014-06-24,47
2014-06-25,62
2014-06-26,46
2014-06-27,38
2014-06-28,34
2014-06-29,53
2014-06-30,46
2014-07-01,54
2014-07-02,82
2014-07-03,100
2014-07-04,77
2014-07-05,38
2014-07-06,41
2014-07-07,45
2014-07-08,66
2014-07-09,54
2014-07-10,43
2014-07-11,40
2014-07-12,49
2014-07-13,71
2014-07-14,75
2014-07-15,68
2014-07-16,42
2014-07-17,35
2014-07-18,38
2014-07-19,59
2014-07-20,48
2014-07-21,37
2014-07-22,37
2014-07-23,58
2014-07-24,43
2014-07-25,39
2014-07-26,68
2014-07-27,85
2014-07-28,69
2014-07-29,43
2014-07-30,48
2014-07-31,52
2014-08-01,71
2014-08-02,73
2014-08-03, 
2014-08-04, 
