Day,Past 90 days
2014-05-05,45
2014-05-06,42
2014-05-07,43
2014-05-08,42
2014-05-09,53
2014-05-10,66
2014-05-11,39
2014-05-12,49
2014-05-13,49
2014-05-14,53
2014-05-15,68
2014-05-16,63
2014-05-17,42
2014-05-18,37
2014-05-19,39
2014-05-20,38
2014-05-21,48
2014-05-22,52
2014-05-23,39
2014-05-24,35
2014-05-25,30
2014-05-26,31
2014-05-27,52
2014-05-28,47
2014-05-29,48
2014-05-30,40
2014-05-31,30
2014-06-01,27
2014-06-02,32
2014-06-03,38
2014-06-04,40
2014-06-05,42
2014-06-06,26
2014-06-07,27
2014-06-08,39
2014-06-09,41
2014-06-10,40
2014-06-11,55
2014-06-12,52
2014-06-13,50
2014-06-14,34
2014-06-15,27
2014-06-16,31
2014-06-17,34
2014-06-18,38
2014-06-19,58
2014-06-20,41
2014-06-21,55
2014-06-22,40
2014-06-23,30
2014-06-24,29
2014-06-25,42
2014-06-26,32
2014-06-27,33
2014-06-28,27
2014-06-29,28
2014-06-30,33
2014-07-01,44
2014-07-02,73
2014-07-03,100
2014-07-04,72
2014-07-05,27
2014-07-06,27
2014-07-07,28
2014-07-08,40
2014-07-09,52
2014-07-10,37
2014-07-11,25
2014-07-12,21
2014-07-13,26
2014-07-14,38
2014-07-15,42
2014-07-16,25
2014-07-17,20
2014-07-18,20
2014-07-19,26
2014-07-20,25
2014-07-21,26
2014-07-22,20
2014-07-23,25
2014-07-24,38
2014-07-25,20
2014-07-26,28
2014-07-27,41
2014-07-28,27
2014-07-29,19
2014-07-30,20
2014-07-31,25
2014-08-01,38
2014-08-02,32
2014-08-03, 
2014-08-04, 
