Day,Past 90 days
2014-05-05,31
2014-05-06,23
2014-05-07,28
2014-05-08,32
2014-05-09,42
2014-05-10,40
2014-05-11,41
2014-05-12,49
2014-05-13,36
2014-05-14,42
2014-05-15,43
2014-05-16,40
2014-05-17,39
2014-05-18,37
2014-05-19,28
2014-05-20,29
2014-05-21,37
2014-05-22,40
2014-05-23,30
2014-05-24,33
2014-05-25,31
2014-05-26,34
2014-05-27,43
2014-05-28,35
2014-05-29,38
2014-05-30,29
2014-05-31,25
2014-06-01,29
2014-06-02,29
2014-06-03,36
2014-06-04,62
2014-06-05,34
2014-06-06,21
2014-06-07,19
2014-06-08,30
2014-06-09,31
2014-06-10,24
2014-06-11,55
2014-06-12,36
2014-06-13,33
2014-06-14,19
2014-06-15,24
2014-06-16,30
2014-06-17,25
2014-06-18,34
2014-06-19,42
2014-06-20,34
2014-06-21,37
2014-06-22,24
2014-06-23,20
2014-06-24,29
2014-06-25,37
2014-06-26,19
2014-06-27,22
2014-06-28,29
2014-06-29,27
2014-06-30,25
2014-07-01,33
2014-07-02,41
2014-07-03,33
2014-07-04,35
2014-07-05,20
2014-07-06,23
2014-07-07,21
2014-07-08,43
2014-07-09,27
2014-07-10,18
2014-07-11,18
2014-07-12,22
2014-07-13,45
2014-07-14,44
2014-07-15,27
2014-07-16,19
2014-07-17,22
2014-07-18,32
2014-07-19,34
2014-07-20,30
2014-07-21,21
2014-07-22,20
2014-07-23,30
2014-07-24,29
2014-07-25,22
2014-07-26,44
2014-07-27,100
2014-07-28,50
2014-07-29,26
2014-07-30,28
2014-07-31,19
2014-08-01,29
2014-08-02,41
2014-08-03, 
2014-08-04, 
