Web Search interest: weather
Delaware (United States); Past 90 days

Interest over time
Day,Past 90 days
2014-06-12,40
2014-06-13,51
2014-06-14,24
2014-06-15,22
2014-06-16,27
2014-06-17,31
2014-06-18,37
2014-06-19,57
2014-06-20,28
2014-06-21,45
2014-06-22,27
2014-06-23,21
2014-06-24,20
2014-06-25,28
2014-06-26,34
2014-06-27,30
2014-06-28,21
2014-06-29,21
2014-06-30,32
2014-07-01,33
2014-07-02,70
2014-07-03,100
2014-07-04,81
2014-07-05,28
2014-07-06,21
2014-07-07,28
2014-07-08,26
2014-07-09,57
2014-07-10,39
2014-07-11,26
2014-07-12,21
2014-07-13,33
2014-07-14,52
2014-07-15,56
2014-07-16,30
2014-07-17,17
2014-07-18,16
2014-07-19,25
2014-07-20,27
2014-07-21,25
2014-07-22,19
2014-07-23,29
2014-07-24,41
2014-07-25,25
2014-07-26,45
2014-07-27,38
2014-07-28,39
2014-07-29,27
2014-07-30,23
2014-07-31,32
2014-08-01,50
2014-08-02,41
2014-08-03,37
2014-08-04,22
2014-08-05,18
2014-08-06,20
2014-08-07,21
2014-08-08,15
2014-08-09,22
2014-08-10,22
2014-08-11,24
2014-08-12,53
2014-08-13,31
2014-08-14,20
2014-08-15,17
2014-08-16,25
2014-08-17,33
2014-08-18,25
2014-08-19,28
2014-08-20,24
2014-08-21,38
2014-08-22,39
2014-08-23,38
2014-08-24,26
2014-08-25,18
2014-08-26,14
2014-08-27,20
2014-08-28,14
2014-08-29,24
2014-08-30,27
2014-08-31,48
2014-09-01,34
2014-09-02,30
2014-09-03,34
2014-09-04,25
2014-09-05,34
2014-09-06,54
2014-09-07,30
2014-09-08,36
2014-09-09,31
2014-09-10, 
2014-09-11, 


Top metros for Past 90 days
Metro,Past 90 days
Salisbury MD,100
Philadelphia PA,75


Top cities for Past 90 days
City,Past 90 days
Ellendale,100
Millsboro,85
Lewes,80
Pike Creek,78
Cheswold,77
Wilmington,73
Bethany Beach,73
Bear,73
Talleyville,72
Hockessin,70
Odessa,69
Pennsville Township,69
Kent Acres,67
Blades,66
Highland Acres,66



Top searches for Past 90 days
weather channel,100
delaware weather,90
weather forecast,65
wilmington weather,50
rehoboth weather,45
weather philadelphia,35
weather wilmington de,35



Rising searches for Past 90 days
rehoboth weather,+130%



