Web Search interest: gas
Worldwide; Past 90 days

Interest over time
Day,gas
2014-06-17,95
2014-06-18,95
2014-06-19,93
2014-06-20,92
2014-06-21,84
2014-06-22,84
2014-06-23,97
2014-06-24,92
2014-06-25,93
2014-06-26,93
2014-06-27,94
2014-06-28,85
2014-06-29,82
2014-06-30,99
2014-07-01,94
2014-07-02,95
2014-07-03,99
2014-07-04,85
2014-07-05,84
2014-07-06,83
2014-07-07,100
2014-07-08,94
2014-07-09,91
2014-07-10,91
2014-07-11,90
2014-07-12,81
2014-07-13,82
2014-07-14,98
2014-07-15,97
2014-07-16,96
2014-07-17,94
2014-07-18,94
2014-07-19,86
2014-07-20,84
2014-07-21,98
2014-07-22,94
2014-07-23,97
2014-07-24,91
2014-07-25,92
2014-07-26,85
2014-07-27,86
2014-07-28,97
2014-07-29,94
2014-07-30,98
2014-07-31,98
2014-08-01,100
2014-08-02,87
2014-08-03,85
2014-08-04,94
2014-08-05,99
2014-08-06,97
2014-08-07,93
2014-08-08,91
2014-08-09,82
2014-08-10,80
2014-08-11,96
2014-08-12,92
2014-08-13,94
2014-08-14,95
2014-08-15,90
2014-08-16,83
2014-08-17,81
2014-08-18,97
2014-08-19,99
2014-08-20,91
2014-08-21,95
2014-08-22,92
2014-08-23,81
2014-08-24,79
2014-08-25,94
2014-08-26,95
2014-08-27,96
2014-08-28,95
2014-08-29,92
2014-08-30,83
2014-08-31,81
2014-09-01,92
2014-09-02,98
2014-09-03,98
2014-09-04,95
2014-09-05,90
2014-09-06,84
2014-09-07,78
2014-09-08,97
2014-09-09,95
2014-09-10,94
2014-09-11,95
2014-09-12,95
2014-09-13,81
2014-09-14,81
2014-09-15, 
2014-09-16, 


Top regions for gas
Region,gas
United States,100
Canada,82
United Kingdom,80
Australia,54
Trinidad and Tobago,54
Nigeria,53
India,50
Jamaica,40
New Zealand,40
United Arab Emirates,39
Qatar,39
Italy,39
Argentina,39
Singapore,38
Spain,38
Malta,36
Ghana,35
South Africa,34
Chile,31
Ireland,31
Mexico,31
Oman,31
Bahrain,29
Malaysia,29
Kenya,27
Pakistan,27
Philippines,25
Peru,25
Puerto Rico,25
Uruguay,25
Colombia,25
Indonesia,24
Brazil,21
Bolivia,21
Panama,21
Tanzania,20
Netherlands,20
Germany,19
Serbia,19
Cyprus,19
El Salvador,18
Denmark,18
Dominican Republic,18
Venezuela,18
Kuwait,17
Sri Lanka,17
Guatemala,16
Portugal,16
Costa Rica,16
Paraguay,15
Austria,15
Hong Kong,15
Bangladesh,15
Ecuador,14
Norway,13
Belgium,12
Lebanon,12
Sweden,12
Bosnia and Herzegovina,11
Switzerland,11
South Korea,10
Croatia,9
Greece,9
Vietnam,8
Slovenia,8
Bulgaria,7
Saudi Arabia,7
Slovakia,7
Finland,7
Czech Republic,7
Hungary,6
Romania,6
Iran,6
Thailand,5
Israel,5
France,5
Egypt,4
Poland,4
Taiwan,3
Algeria,3
Russia,2
Ukraine,2
Turkey,2
Japan,2


Top cities for gas
City,gas
Calgary (Canada),100
Houston (United States),82
Chicago (United States),80
Denver (United States),72
Atlanta (United States),72
Los Angeles (United States),68
Washington (United States),67
Toronto (Canada),60
San Francisco (United States),59
London (United Kingdom),53
New York (United States),47
Melbourne (Australia),40
Bangalore (India),40
Brisbane (Australia),39
New Delhi (India),37



Top searches for gas
gas gas,100
gas station,5
gas natural,5
oil and gas,5
gas prices,5
british gas,5
gas mileage,5
gas grill,0
gas price,0
gas company,0
gas stations,0
gas stove,0
gas near me,0
gas monkey,0
shell gas,0
city gas,0
indane gas,0
bharat gas,0
hp gas,0
gas bill,0
gas range,0
gas pain,0
gas calculator,0
cheap gas,0
shell gas station,0
gas pump,0
costco gas,0
costco,0
gas mask,0
columbia gas,0
gas bbq,0
gas fireplace,0
gas south,0
gas pedal,0
lpg gas,0
washington gas,0
gas monkey garage,0
ideal gas,0
union gas,0
online gas booking,0
gas leak,0
gas grills,0
cheapest gas,0
gas heaters,0
gas fenosa,0
eni gas,0
gas x,0
nearest gas station,0
the gas company,0
gas safe,0



Rising searches for gas
taiwan gas explosion,Breakout
indane gas booking,+140%
tear gas,+140%
online gas booking,+80%
oxxo gas facturacion,+50%
camping gas,+40%
closest gas station,+40%
dominion power,+40%
exxon gas station,+40%
gas near me,+40%



