Web Search interest: weather
Kentucky (United States); Past 90 days

Interest over time
Day,Past 90 days
2014-06-12,31
2014-06-13,35
2014-06-14,21
2014-06-15,23
2014-06-16,26
2014-06-17,27
2014-06-18,30
2014-06-19,44
2014-06-20,47
2014-06-21,37
2014-06-22,28
2014-06-23,41
2014-06-24,46
2014-06-25,28
2014-06-26,26
2014-06-27,33
2014-06-28,46
2014-06-29,40
2014-06-30,30
2014-07-01,40
2014-07-02,49
2014-07-03,29
2014-07-04,26
2014-07-05,23
2014-07-06,25
2014-07-07,33
2014-07-08,51
2014-07-09,27
2014-07-10,23
2014-07-11,20
2014-07-12,28
2014-07-13,39
2014-07-14,51
2014-07-15,29
2014-07-16,26
2014-07-17,22
2014-07-18,43
2014-07-19,42
2014-07-20,28
2014-07-21,21
2014-07-22,23
2014-07-23,44
2014-07-24,28
2014-07-25,24
2014-07-26,39
2014-07-27,100
2014-07-28,42
2014-07-29,21
2014-07-30,24
2014-07-31,22
2014-08-01,26
2014-08-02,33
2014-08-03,22
2014-08-04,19
2014-08-05,23
2014-08-06,24
2014-08-07,31
2014-08-08,48
2014-08-09,42
2014-08-10,38
2014-08-11,35
2014-08-12,25
2014-08-13,19
2014-08-14,19
2014-08-15,17
2014-08-16,33
2014-08-17,38
2014-08-18,26
2014-08-19,21
2014-08-20,36
2014-08-21,30
2014-08-22,31
2014-08-23,42
2014-08-24,35
2014-08-25,26
2014-08-26,23
2014-08-27,29
2014-08-28,29
2014-08-29,30
2014-08-30,43
2014-08-31,44
2014-09-01,31
2014-09-02,41
2014-09-03,26
2014-09-04,23
2014-09-05,29
2014-09-06,47
2014-09-07,26
2014-09-08,23
2014-09-09,25
2014-09-10, 
2014-09-11, 


Top metros for Past 90 days
Metro,Past 90 days
Tri-Cities TN-VA,100
Knoxville TN,99
Cincinnati OH,95
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,94
Charleston-Huntington WV,94
Evansville IN,92
Louisville KY,88
Bowling Green KY,87
Lexington KY,86
Nashville TN,83


Top cities for Past 90 days
City,Past 90 days
Florence,100
Park Hills,100
Glasgow,98
London,98
Sonora,92
Allensville,90
Pikeville,86
Fort Mitchell,86
Nicholasville,83
Ashland,82
Cold Spring,82
Frankfort,81
Lexington,81
Louisville,79
Fort Thomas,79



Top searches for Past 90 days
ky weather,100
radar weather,45
louisville weather,40
weather channel,40
the weather,35
weather forecast,25
lexington weather,25
louisville ky weather,25
lexington ky weather,20
kentucky weather,15
cincinnati weather,15
the weather channel,15
news,10
wbko,10
wbko weather,10
ky weather radar,10
national weather service,10
weather underground,10
google weather,5
wave 3,5
wave 3 weather,5
weather map,5
wkyt,5
wkyt weather,5
local weather,5
weather nashville,5
wlky,5
hourly weather,5
bowling green weather,5
wlky weather,5
yahoo weather,5
noaa weather,5
whas weather,5
yahoo,5
wymt,5
noaa,5
wymt weather,5
louisville weather radar,5
wlex weather,5
weather chicago,5
wcpo weather,5
wsaz,5
wsaz weather,5
wcpo,5
myrtle beach weather,5
weather memphis,5
current weather,5



Rising searches for Past 90 days
ky weather radar,+120%
louisville weather radar,+120%
myrtle beach weather,+90%
radar weather,+60%
wcpo,+60%
wcpo weather,+50%
weather underground,+50%
wlex weather,+40%



