Web Search interest: movie
Worldwide; Past 90 days

Interest over time
Day,movie
2014-06-17,60
2014-06-18,60
2014-06-19,63
2014-06-20,69
2014-06-21,86
2014-06-22,82
2014-06-23,62
2014-06-24,59
2014-06-25,59
2014-06-26,60
2014-06-27,71
2014-06-28,86
2014-06-29,82
2014-06-30,60
2014-07-01,59
2014-07-02,60
2014-07-03,64
2014-07-04,71
2014-07-05,80
2014-07-06,84
2014-07-07,62
2014-07-08,61
2014-07-09,59
2014-07-10,59
2014-07-11,68
2014-07-12,86
2014-07-13,83
2014-07-14,63
2014-07-15,63
2014-07-16,62
2014-07-17,62
2014-07-18,71
2014-07-19,93
2014-07-20,90
2014-07-21,65
2014-07-22,62
2014-07-23,65
2014-07-24,73
2014-07-25,82
2014-07-26,100
2014-07-27,100
2014-07-28,74
2014-07-29,72
2014-07-30,70
2014-07-31,70
2014-08-01,79
2014-08-02,97
2014-08-03,95
2014-08-04,69
2014-08-05,66
2014-08-06,66
2014-08-07,66
2014-08-08,77
2014-08-09,97
2014-08-10,93
2014-08-11,70
2014-08-12,71
2014-08-13,64
2014-08-14,68
2014-08-15,80
2014-08-16,93
2014-08-17,91
2014-08-18,65
2014-08-19,61
2014-08-20,59
2014-08-21,62
2014-08-22,69
2014-08-23,90
2014-08-24,84
2014-08-25,60
2014-08-26,57
2014-08-27,55
2014-08-28,58
2014-08-29,69
2014-08-30,83
2014-08-31,84
2014-09-01,65
2014-09-02,54
2014-09-03,54
2014-09-04,57
2014-09-05,62
2014-09-06,83
2014-09-07,79
2014-09-08,56
2014-09-09,53
2014-09-10,53
2014-09-11,56
2014-09-12,66
2014-09-13,85
2014-09-14,81
2014-09-15, 
2014-09-16, 


Top regions for movie
Region,movie
Pakistan,100
India,68
Guyana,57
St. Vincent & Grenadines,53
United Arab Emirates,51
Bangladesh,50
Grenada,50
Bhutan,49
Qatar,46
Fiji,45
Philippines,43
Guam,42
Nepal,42
Suriname,38
Mauritius,38
Dominica,37
Brunei,37
Jamaica,36
Trinidad and Tobago,36
Saint Lucia,36
Bahamas,35
Cambodia,35
Barbados,35
Papua New Guinea,34
Bahrain,33
Bolivia,32
Sint Maarten,32
Cayman Islands,32
Malaysia,31
Sri Lanka,30
Belize,28
Bermuda,28
United States,27
Singapore,27
Maldives,27
Antigua and Barbuda,26
Aruba,25
Oman,25
Kuwait,24
Curaçao,23
Mongolia,21
Australia,20
New Zealand,20
Canada,19
Namibia,19
Myanmar (Burma),18
Botswana,17
Saudi Arabia,16
Malta,16
Macedonia (FYROM),16
Afghanistan,15
Ireland,15
Isle of Man,15
Liberia,15
Jersey,15
Guernsey,14
South Africa,14
Iceland,14
Kosovo,14
Puerto Rico,14
Zambia,13
Tanzania,13
Albania,13
United Kingdom,13
Cyprus,12
Saint Helena,12
Laos,12
Lebanon,12
Uganda,12
Malawi,12
Ghana,12
Nigeria,12
Ethiopia,11
Zimbabwe,11
Kenya,11
Indonesia,10
Macau,10
Rwanda,8
Hong Kong,8
Norway,8
Montenegro,8
Georgia,8
Greece,7
Serbia,7
Netherlands,7
Bosnia and Herzegovina,7
Denmark,7
Thailand,7
Estonia,6
Latvia,6
Sweden,6
Croatia,6
Slovenia,6
Jordan,6
Romania,5
Haiti,5
Israel,5
Luxembourg,5
Egypt,5
Belgium,5
Uruguay,5
Honduras,5
Tunisia,5
Finland,4
China,4
Germany,4
Portugal,4
Mozambique,4
Lithuania,4
Syria,4
Switzerland,4
Armenia,4
Panama,4
Costa Rica,4
Iraq,4
Austria,4
South Korea,4
Bulgaria,4
Morocco,4
Dominican Republic,3
Nicaragua,3
Algeria,3
El Salvador,3
Cameroon,3
Italy,3
Azerbaijan,3
Mexico,3
Czech Republic,3
Sudan,3
Réunion,3
Libya,3
Iran,3
Slovakia,3
Hungary,3
Guatemala,3
Angola,3
Moldova,3
Palestine,2
Chile,2
Yemen,2
France,2
Senegal,2
Ecuador,2
Peru,2
Argentina,2
Paraguay,2
Taiwan,2
Vietnam,2
Côte d’Ivoire,2
Spain,2
Colombia,2
Turkey,2
Brazil,2
Poland,2
Venezuela,2
Japan,1
Kazakhstan,1
Ukraine,1
Russia,1


Top cities for movie
City,movie
Hyderabad (India),100
Karachi (Pakistan),94
Lahore (Pakistan),92
Islamabad (Pakistan),91
Chennai (India),89
Bangalore (India),81
Mumbai (India),78
Pune (India),71
Howrah (India),68
New Delhi (India),68
Dhaka (Bangladesh),62
Ahmedabad (India),57
Dubai (United Arab Emirates),53
Quezon City (Philippines),50
Chandigarh (India),49



Top searches for movie
full movie,100
download,60
movie download,60
movie online,55
free movie,50
movies,45
movie 2014,30
hindi movie,25
watch movie online,20
youtube movie,15
movie theater,15
movie hd,15
tamil movie,10
kick movie,10
kick,10
torrent,10
movie times,10
movie torrent,10
movie maker,10
online movies,10
hot movie,10
2014 movies,10
lego movie,5
lego,5
hindi full movie,5
indian movie,5
movie theaters,5
tv movie,5
hindi movie download,5
putlocker,5
dailymotion,5
windows movie maker,5
watch movies online,5
movie mobile,5
3gp movie,5
movie world,5
megashare,5
movie tube,5
hindi movies,5
lucy,5
lucy movie,5
free movies online,5
scary movie,5
movie park,5
ek villain,5
imdb,5
frozen,5
frozen movie,5
blue movie,5
netflix,5



Rising searches for movie
kick movie songs,Breakout
kick movie download,+2,850%
kick full movie,+1,700%
kick movie,+1,550%
kick,+1,500%
entertainment,+900%
entertainment movie,+850%
lucy,+750%
lucy movie,+700%
ek villain,+400%



