Web Search interest: weather
New Jersey (United States); Past 90 days

Interest over time
Day,Past 90 days
2014-06-12,43
2014-06-13,61
2014-06-14,37
2014-06-15,33
2014-06-16,33
2014-06-17,38
2014-06-18,45
2014-06-19,55
2014-06-20,34
2014-06-21,38
2014-06-22,34
2014-06-23,31
2014-06-24,33
2014-06-25,47
2014-06-26,36
2014-06-27,33
2014-06-28,25
2014-06-29,31
2014-06-30,35
2014-07-01,48
2014-07-02,85
2014-07-03,100
2014-07-04,94
2014-07-05,36
2014-07-06,28
2014-07-07,34
2014-07-08,43
2014-07-09,54
2014-07-10,39
2014-07-11,31
2014-07-12,37
2014-07-13,57
2014-07-14,66
2014-07-15,77
2014-07-16,44
2014-07-17,28
2014-07-18,28
2014-07-19,43
2014-07-20,43
2014-07-21,27
2014-07-22,31
2014-07-23,45
2014-07-24,44
2014-07-25,30
2014-07-26,56
2014-07-27,57
2014-07-28,47
2014-07-29,31
2014-07-30,34
2014-07-31,49
2014-08-01,63
2014-08-02,64
2014-08-03,52
2014-08-04,35
2014-08-05,32
2014-08-06,38
2014-08-07,29
2014-08-08,29
2014-08-09,29
2014-08-10,26
2014-08-11,34
2014-08-12,53
2014-08-13,44
2014-08-14,29
2014-08-15,38
2014-08-16,36
2014-08-17,50
2014-08-18,31
2014-08-19,27
2014-08-20,32
2014-08-21,45
2014-08-22,55
2014-08-23,53
2014-08-24,36
2014-08-25,29
2014-08-26,27
2014-08-27,30
2014-08-28,34
2014-08-29,34
2014-08-30,49
2014-08-31,66
2014-09-01,45
2014-09-02,35
2014-09-03,32
2014-09-04,30
2014-09-05,47
2014-09-06,64
2014-09-07,40
2014-09-08,41
2014-09-09,41
2014-09-10, 
2014-09-11, 


Top metros for Past 90 days
Metro,Past 90 days
New York NY,100
Philadelphia PA,89


Top cities for Past 90 days
City,Past 90 days
Middle Township,100
Elizabeth,91
Stafford Township,86
Egg Harbor Township,82
Pitman,81
Atlantic City,81
Scotch Plains,79
Ridgewood,79
Tinton Falls,78
Princeton,78
Mount Laurel,76
Toms River,76
Brick,76
Howell,75
Readington Township,74



Top searches for Past 90 days
weather nj,100
weather forecast,35
the weather,35
weather channel,30
weather in nj,20
nyc weather,15
ny weather,10
weather radar,10
weather new jersey,10
google weather,10
news,10
the weather channel,10
philadelphia weather,10
new york weather,10
weather forecast nj,10
hourly weather,10
weather underground,5
today weather,5
weather wildwood,5
weather map,5
weather atlantic city,5
national weather,5
ocean city weather,5
atlantic city,5
noaa weather,5
noaa,5
yahoo,5
yahoo weather,5
newark weather,5
weather wildwood nj,5
wildwood nj,5
ocean city nj,5
jersey city weather,5
local weather,5
weather channel nj,5
accuweather,5
weather tomorrow,5
cape may weather,5
national weather service,5
maps,5
weather.com,5
weather report,0
chicago weather,0
cnn,0
point pleasant weather,0
nj weather radar,0
seaside weather,0
weather newark nj,0
weather princeton,0
bermuda weather,0



Rising searches for Past 90 days
ocean city nj,+350%
ocean city weather,+300%
weather wildwood,+300%
weather wildwood nj,+300%
wildwood nj,+250%
weather radar,+140%
cape may weather,+90%
atlantic city,+60%
weather atlantic city,+60%
hourly weather,+50%



