Web Search interest: news
Worldwide; Past 90 days

Interest over time
Day,news
2014-06-17,73
2014-06-18,72
2014-06-19,73
2014-06-20,71
2014-06-21,65
2014-06-22,61
2014-06-23,74
2014-06-24,73
2014-06-25,72
2014-06-26,72
2014-06-27,69
2014-06-28,67
2014-06-29,63
2014-06-30,70
2014-07-01,72
2014-07-02,73
2014-07-03,73
2014-07-04,74
2014-07-05,69
2014-07-06,69
2014-07-07,73
2014-07-08,80
2014-07-09,80
2014-07-10,80
2014-07-11,77
2014-07-12,69
2014-07-13,72
2014-07-14,79
2014-07-15,79
2014-07-16,78
2014-07-17,100
2014-07-18,96
2014-07-19,82
2014-07-20,77
2014-07-21,82
2014-07-22,80
2014-07-23,83
2014-07-24,89
2014-07-25,78
2014-07-26,77
2014-07-27,77
2014-07-28,79
2014-07-29,76
2014-07-30,80
2014-07-31,80
2014-08-01,77
2014-08-02,76
2014-08-03,75
2014-08-04,75
2014-08-05,82
2014-08-06,76
2014-08-07,78
2014-08-08,83
2014-08-09,78
2014-08-10,77
2014-08-11,85
2014-08-12,89
2014-08-13,83
2014-08-14,87
2014-08-15,85
2014-08-16,79
2014-08-17,75
2014-08-18,82
2014-08-19,85
2014-08-20,85
2014-08-21,87
2014-08-22,81
2014-08-23,77
2014-08-24,77
2014-08-25,83
2014-08-26,82
2014-08-27,82
2014-08-28,86
2014-08-29,83
2014-08-30,81
2014-08-31,82
2014-09-01,94
2014-09-02,83
2014-09-03,80
2014-09-04,83
2014-09-05,79
2014-09-06,70
2014-09-07,67
2014-09-08,81
2014-09-09,78
2014-09-10,74
2014-09-11,83
2014-09-12,78
2014-09-13,68
2014-09-14,69
2014-09-15, 
2014-09-16, 


Top regions for news
Region,news
Sierra Leone,100
South Sudan,86
Liberia,65
Nigeria,50
Uganda,48
Gambia,46
British Virgin Islands,41
Malawi,37
Kenya,32
Zimbabwe,29
Pakistan,29
Ethiopia,29
Zambia,28
Dominica,26
Isle of Man,25
Guernsey,23
United Kingdom,23
Jersey,22
Saint Lucia,22
Guyana,22
Cayman Islands,21
Somalia,21
Namibia,21
Gibraltar,20
Ghana,20
Burundi,18
Maldives,18
Botswana,17
Belize,17
United Arab Emirates,16
Seychelles,16
Lesotho,16
Sint Maarten,16
Bhutan,16
Mauritius,15
Papua New Guinea,15
Ireland,14
India,14
Fiji,14
Sri Lanka,14
Antigua and Barbuda,13
Rwanda,13
Bermuda,13
St. Vincent & Grenadines,13
South Africa,12
Barbados,12
Cambodia,12
Qatar,12
Tanzania,12
United States,11
Grenada,11
Bangladesh,11
Australia,11
U.S. Virgin Islands,11
Swaziland,11
Malta,11
Myanmar (Burma),10
Bahrain,10
Guam,10
Afghanistan,10
Canada,10
Bolivia,9
Nepal,9
Jamaica,8
Brunei,8
Trinidad and Tobago,7
Singapore,7
Cyprus,7
New Zealand,7
Bahamas,7
Guinea,7
Italy,6
Oman,6
Congo (Republic),6
Philippines,6
Aruba,6
Cameroon,6
Suriname,5
Malaysia,5
Saint Helena,5
Kuwait,5
Curaçao,5
Saudi Arabia,5
Congo (DRC),4
Benin,4
Greece,4
Gabon,4
Iceland,4
Albania,4
Lebanon,4
Germany,4
Hong Kong,3
Luxembourg,3
Haiti,3
Macedonia (FYROM),3
Switzerland,3
Mongolia,3
Austria,3
Croatia,3
Armenia,3
Angola,3
Laos,3
Mozambique,3
Tunisia,3
Macau,2
Netherlands,2
Israel,2
Senegal,2
Libya,2
Kosovo,2
Puerto Rico,2
Côte d’Ivoire,2
Madagascar,2
Norway,2
Denmark,2
Jordan,2
Montenegro,1
Morocco,1
China,1
Brazil,1
Bulgaria,1
Sweden,1
Estonia,1
Romania,1
Sudan,1
Iraq,1
France,1
Belgium,1
Indonesia,1
Latvia,1
Portugal,1
Slovenia,1
Georgia,1
Vietnam,1
Uzbekistan,1
Finland,1
Spain,1
Algeria,1
Lithuania,1
Bosnia and Herzegovina,1
Iran,1
Thailand,1
Syria,1
Yemen,1
Serbia,1
Czech Republic,1
South Korea,1
Panama,1
Réunion,1
Azerbaijan,1
Egypt,1
Costa Rica,1
Moldova,1
Dominican Republic,1
Ukraine,1
Nicaragua,1
Japan,1
Taiwan,1
Honduras,1
Poland,1


Top cities for news
City,news
Abuja (Nigeria),100
Lagos (Nigeria),80
Nairobi (Kenya),56
Islamabad (Pakistan),51
Lahore (Pakistan),38
London (United Kingdom),38
Karachi (Pakistan),35
Leesburg (United States),32
Dubai (United Arab Emirates),28
Manchester (United Kingdom),27
Birmingham (United Kingdom),25
Dublin (Ireland),25
New Delhi (India),24
Brookneal (United States),23
Homagama (Sri Lanka),23



Top searches for news
news bbc,100
bbc,100
transfer news,45
latest news,45
fox news,40
the news,35
live news,35
news google,30
daily news,25
news today,20
sky news,20
arsenal,20
arsenal news,20
hindi news,15
world news,15
yahoo news,15
yahoo,15
news now,15
weather,15
cnn,15
cnn news,10
abc news,10
football news,10
sports news,10
breaking news,10
express news,10
india news,10
arsenal transfer news,10
geo news,10
ary news,10
sport news,5
liverpool news,5
man utd news,5
man utd,5
tamil news,5
e news,5
manchester united,5
manchester united news,5
news in hindi,5
chelsea news,5
live ary news,5
9 news,5
geo news live,5
news 24,5
world cup,5
latest transfer news,5
world cup news,5
sky sports news,5
israel news,5
urdu news,5



Rising searches for news
ary news,+400%
arsenal transfer news,+350%
transfer news,+250%
man utd,+170%
man utd news,+170%
manchester united,+170%
manchester united news,+170%
arsenal,+160%
arsenal news,+160%
geo news,+90%



