Web Search interest: weather
Pennsylvania (United States); Past 90 days

Interest over time
Day,Past 90 days
2014-06-12,65
2014-06-13,73
2014-06-14,48
2014-06-15,38
2014-06-16,49
2014-06-17,52
2014-06-18,69
2014-06-19,77
2014-06-20,46
2014-06-21,59
2014-06-22,49
2014-06-23,40
2014-06-24,49
2014-06-25,64
2014-06-26,48
2014-06-27,38
2014-06-28,37
2014-06-29,53
2014-06-30,48
2014-07-01,57
2014-07-02,80
2014-07-03,100
2014-07-04,80
2014-07-05,41
2014-07-06,40
2014-07-07,45
2014-07-08,68
2014-07-09,54
2014-07-10,45
2014-07-11,41
2014-07-12,50
2014-07-13,73
2014-07-14,78
2014-07-15,71
2014-07-16,43
2014-07-17,34
2014-07-18,37
2014-07-19,60
2014-07-20,49
2014-07-21,39
2014-07-22,38
2014-07-23,59
2014-07-24,45
2014-07-25,38
2014-07-26,71
2014-07-27,85
2014-07-28,69
2014-07-29,44
2014-07-30,49
2014-07-31,53
2014-08-01,73
2014-08-02,74
2014-08-03,66
2014-08-04,39
2014-08-05,41
2014-08-06,49
2014-08-07,37
2014-08-08,34
2014-08-09,34
2014-08-10,34
2014-08-11,49
2014-08-12,61
2014-08-13,47
2014-08-14,40
2014-08-15,41
2014-08-16,45
2014-08-17,59
2014-08-18,40
2014-08-19,42
2014-08-20,55
2014-08-21,62
2014-08-22,60
2014-08-23,66
2014-08-24,42
2014-08-25,34
2014-08-26,34
2014-08-27,38
2014-08-28,35
2014-08-29,37
2014-08-30,54
2014-08-31,73
2014-09-01,52
2014-09-02,52
2014-09-03,39
2014-09-04,39
2014-09-05,55
2014-09-06,84
2014-09-07,42
2014-09-08,47
2014-09-09,49
2014-09-10, 
2014-09-11, 


Top metros for Past 90 days
Metro,Past 90 days
Erie PA,100
Elmira NY,97
Youngstown OH,90
Johnstown-Altoona PA,81
New York NY,80
Buffalo NY,79
Pittsburgh PA,75
Philadelphia PA,73
Washington DC (Hagerstown MD),67
Wilkes Barre-Scranton PA,66
Harrisburg-Lancaster-Lebanon-York PA,63


Top cities for Past 90 days
City,Past 90 days
Erie,100
Meadville,97
Altoona,94
New Alexandria,87
Lititz,86
Cranberry Township,85
Philadelphia,84
Canonsburg,83
Pittsburgh,81
Mount Lebanon,81
Harrisburg,78
Lancaster,78
Doylestown,78
Malvern,77
Wexford,77



Top searches for Past 90 days
pa weather,100
weather channel,45
the weather,40
weather philadelphia,35
weather forecast,35
weather pittsburgh,35
weather radar,25
nj weather,20
the weather channel,15
news,10
ocean city weather,10
underground weather,10
google weather,10
erie weather,10
hourly weather,10
national weather,10
erie pa weather,5
weather map,5
local weather,5
lancaster weather,5
noaa weather,5
pittsburgh pa weather,5
wnep weather,5
noaa,5
weather today,5
national weather service,5
wnep,5
weather new york,5
wildwood weather,5
wgal weather,5
weather radar pa,5
wgal,5
yahoo,5
yahoo weather,5
accuweather,5
harrisburg weather,5
weather lancaster pa,5
weather philly,5
ocean city md,5
weather atlantic city,5
state college weather,5
ocean city nj,5
wpxi,5
dc weather,5
wildwood nj weather,5
kdka,5
wpxi weather,5
wildwood nj,5
new jersey weather,5
weather channel pa,5



Rising searches for Past 90 days
ocean city nj,+400%
wildwood nj,+400%
wildwood nj weather,+350%
ocean city weather,+300%
wildwood weather,+300%
ocean city md,+250%
weather radar pa,+160%
weather radar,+120%
weather atlantic city,+110%
weather myrtle beach,+110%



