Web Search interest: restaurant
Worldwide; Past 90 days

Interest over time
Day,restaurant
2014-06-17,68
2014-06-18,69
2014-06-19,71
2014-06-20,79
2014-06-21,85
2014-06-22,78
2014-06-23,68
2014-06-24,70
2014-06-25,68
2014-06-26,70
2014-06-27,82
2014-06-28,89
2014-06-29,80
2014-06-30,70
2014-07-01,70
2014-07-02,72
2014-07-03,77
2014-07-04,80
2014-07-05,88
2014-07-06,86
2014-07-07,75
2014-07-08,74
2014-07-09,76
2014-07-10,79
2014-07-11,85
2014-07-12,93
2014-07-13,86
2014-07-14,77
2014-07-15,79
2014-07-16,80
2014-07-17,78
2014-07-18,85
2014-07-19,95
2014-07-20,89
2014-07-21,78
2014-07-22,79
2014-07-23,82
2014-07-24,83
2014-07-25,90
2014-07-26,98
2014-07-27,91
2014-07-28,81
2014-07-29,80
2014-07-30,81
2014-07-31,82
2014-08-01,88
2014-08-02,100
2014-08-03,89
2014-08-04,77
2014-08-05,82
2014-08-06,82
2014-08-07,78
2014-08-08,91
2014-08-09,95
2014-08-10,92
2014-08-11,78
2014-08-12,78
2014-08-13,80
2014-08-14,82
2014-08-15,92
2014-08-16,98
2014-08-17,90
2014-08-18,78
2014-08-19,76
2014-08-20,78
2014-08-21,79
2014-08-22,87
2014-08-23,97
2014-08-24,88
2014-08-25,72
2014-08-26,73
2014-08-27,74
2014-08-28,76
2014-08-29,82
2014-08-30,94
2014-08-31,87
2014-09-01,72
2014-09-02,68
2014-09-03,67
2014-09-04,72
2014-09-05,80
2014-09-06,90
2014-09-07,80
2014-09-08,68
2014-09-09,69
2014-09-10,69
2014-09-11,73
2014-09-12,81
2014-09-13,90
2014-09-14,79
2014-09-15, 
2014-09-16, 


Top regions for restaurant
Region,restaurant
Monaco,100
Luxembourg,93
Switzerland,76
France,57
Belgium,51
Malta,50
Jersey,49
Canada,48
Singapore,48
Netherlands,42
United States,42
Brunei,40
Australia,38
United Arab Emirates,33
Denmark,33
Guadeloupe,32
Martinique,31
Iceland,31
Lebanon,29
Germany,29
New Zealand,29
Austria,29
United Kingdom,28
Réunion,28
Ireland,23
Malaysia,22
Cyprus,20
Romania,20
Philippines,19
Bahrain,19
Norway,19
Hong Kong,18
Qatar,18
Mauritius,17
Cambodia,17
South Africa,17
Saint Helena,15
Jamaica,15
Trinidad and Tobago,14
Puerto Rico,14
Chile,12
Spain,11
Tunisia,10
Turkey,10
Armenia,10
Myanmar (Burma),9
Moldova,9
Kosovo,9
Nepal,9
Greece,8
Sri Lanka,8
Czech Republic,8
Kuwait,8
Oman,7
Kenya,7
Morocco,7
India,7
Pakistan,7
Croatia,7
Macedonia (FYROM),6
Slovakia,6
Bangladesh,6
Ghana,6
Portugal,6
Argentina,5
Azerbaijan,5
Dominican Republic,5
Sweden,5
Estonia,5
Nigeria,5
Indonesia,5
Peru,4
Mexico,4
Italy,4
Thailand,4
Latvia,4
Jordan,4
Israel,4
Panama,4
Uruguay,4
Venezuela,3
Finland,3
Costa Rica,3
Slovenia,3
Hungary,3
Algeria,3
Bulgaria,3
South Korea,3
Egypt,3
Saudi Arabia,2
Ecuador,2
Bolivia,2
Taiwan,2
Vietnam,2
Serbia,1
Poland,1
Japan,1
Brazil,1
Colombia,1
Iran,1
Russia,1


Top cities for restaurant
City,restaurant
Zurich (Switzerland),100
Paris (France),97
Montreal (Canada),92
New York (United States),79
Brussels (Belgium),71
Celebration (United States),68
Vancouver (Canada),68
Toronto (Canada),65
San Francisco (United States),59
Washington (United States),58
Singapore (Singapore),57
Philadelphia (United States),56
Amsterdam (Netherlands),52
Los Angeles (United States),52
Chicago (United States),52



Top searches for restaurant
restaurants,100
chinese restaurant,40
indian restaurant,30
mexican restaurant,25
thai restaurant,25
restaurant paris,25
restaurant week,20
japanese restaurant,20
restaurant near me,15
china restaurant,10
sushi,10
tripadvisor,10
sur restaurant,10
restaurant depot,10
fish restaurant,10
michelin,5
michelin restaurant,5
burger restaurant,5
restaurant montreal,5
yelp,5
restaurant supply,5
restaurants near me,5
restaurant week 2014,5
italian restaurants,5
restaurant chinois,5
chinese food,5
vietnamese restaurant,5
hong kong restaurant,5
restaurant day,5
ticket restaurant,5
mexican restaurants,5
restaurant games,5
restaurant coupons,5
restaurant equipment,5
subway,5
griechisches restaurant,5
brazilian restaurant,5
restaurant week nyc,5
trip advisor,5
restaurant impossible,5
99 restaurant,0
pho restaurant,0
mandarin restaurant,0
chinees restaurant,0
fresh restaurant,0
thai food,0



Rising searches for restaurant
houston restaurant week,+4,000%
krusty krab restaurant,+2,150%
restaurant week baltimore,+800%
charlotte restaurant week,+700%
dc restaurant week,+700%
restaurant week nyc,+600%
restaurant week philadelphia,+600%
twin peaks restaurant,+80%
restaurant week,+70%
opentable,+50%



