Web Search interest: traffic
Worldwide; Past 90 days

Interest over time
Day,traffic
2014-06-17,65
2014-06-18,66
2014-06-19,74
2014-06-20,78
2014-06-21,62
2014-06-22,65
2014-06-23,70
2014-06-24,77
2014-06-25,77
2014-06-26,76
2014-06-27,81
2014-06-28,67
2014-06-29,58
2014-06-30,68
2014-07-01,63
2014-07-02,67
2014-07-03,93
2014-07-04,81
2014-07-05,60
2014-07-06,77
2014-07-07,73
2014-07-08,65
2014-07-09,66
2014-07-10,71
2014-07-11,84
2014-07-12,64
2014-07-13,56
2014-07-14,70
2014-07-15,70
2014-07-16,77
2014-07-17,76
2014-07-18,91
2014-07-19,77
2014-07-20,67
2014-07-21,70
2014-07-22,70
2014-07-23,75
2014-07-24,86
2014-07-25,100
2014-07-26,86
2014-07-27,75
2014-07-28,76
2014-07-29,67
2014-07-30,71
2014-07-31,78
2014-08-01,100
2014-08-02,80
2014-08-03,71
2014-08-04,78
2014-08-05,67
2014-08-06,65
2014-08-07,73
2014-08-08,91
2014-08-09,75
2014-08-10,73
2014-08-11,75
2014-08-12,79
2014-08-13,74
2014-08-14,74
2014-08-15,85
2014-08-16,74
2014-08-17,66
2014-08-18,69
2014-08-19,68
2014-08-20,68
2014-08-21,69
2014-08-22,86
2014-08-23,72
2014-08-24,58
2014-08-25,74
2014-08-26,72
2014-08-27,73
2014-08-28,74
2014-08-29,97
2014-08-30,66
2014-08-31,59
2014-09-01,70
2014-09-02,69
2014-09-03,67
2014-09-04,69
2014-09-05,75
2014-09-06,61
2014-09-07,52
2014-09-08,75
2014-09-09,75
2014-09-10,71
2014-09-11,68
2014-09-12,79
2014-09-13,60
2014-09-14,52
2014-09-15, 
2014-09-16, 


Top regions for traffic
Region,traffic
Qatar,100
United Kingdom,47
United Arab Emirates,41
United States,32
South Africa,31
Singapore,28
Canada,23
Philippines,22
Australia,21
New Zealand,18
Ireland,14
Bulgaria,13
Kenya,12
Kuwait,12
Nigeria,11
India,11
Malaysia,11
Sri Lanka,9
Pakistan,9
Azerbaijan,9
Greece,8
Hong Kong,8
Belgium,7
Netherlands,7
France,7
Bangladesh,6
Iraq,5
Switzerland,5
Turkey,5
Romania,5
Saudi Arabia,5
Croatia,5
Norway,5
Portugal,4
Germany,4
Italy,4
Iran,4
Poland,4
Morocco,3
Finland,3
Sweden,3
Czech Republic,3
Denmark,3
Venezuela,3
Austria,3
Spain,3
Bolivia,3
Serbia,3
Egypt,3
Indonesia,3
Algeria,3
Hungary,3
Israel,3
South Korea,2
Russia,2
Thailand,2
Ukraine,2
Argentina,2
Brazil,2
Taiwan,1
Colombia,1
Vietnam,1
Mexico,1
Japan,1


Top cities for traffic
City,traffic
Doha (Qatar),100
London (United Kingdom),69
Seattle (United States),64
San Francisco (United States),51
Birmingham (United Kingdom),46
Los Angeles (United States),45
Manchester (United Kingdom),44
San Diego (United States),44
Dubai (United Arab Emirates),43
Alexandria (United States),42
Washington (United States),37
Toronto (Canada),36
Philadelphia (United States),36
Atlanta (United States),35
New York (United States),34



Top searches for traffic
traffic news,100
traffic report,75
traffic marine,70
google traffic,60
air traffic,55
live traffic,50
traffic ticket,50
traffic police,40
traffic racer,40
traffic m25,35
traffic school,35
traffic light,35
traffic map,30
traffic cameras,30
bbc traffic,30
traffic update,25
traffic fines,25
air traffic control,20
traffic jam,20
traffic signs,20
traffic department,20
traffic violation,20
current traffic,20
google maps traffic,15
aa traffic,15
traffic lights,15
seattle traffic,15
la traffic,15
traffic conditions,15
website traffic,15
traffic updates,15
m6 traffic,15
traffic camera,15
info traffic,15
traffic sign,15
chicago traffic,15
air traffic controller,15
nj traffic,15
london traffic,10
traffic houston,10
traffic m1,10
95 traffic,10
tomtom,10
traffic app,10
traffic boston,10
traffic management,10
traffic cam,10
los angeles traffic,10
m5 traffic,10
traffic rules,10



Rising searches for traffic
cape cod traffic,+160%
waze traffic,+90%
m5 traffic,+80%
detroit traffic,+60%
traffic 401,+60%
air traffic control,+50%
bristol traffic,+50%
m11 traffic,+50%
traffic news m1,+50%
info traffic,+40%



