Web Search interest: weather
Virginia (United States); Past 90 days

Interest over time
Day,Past 90 days
2014-06-12,50
2014-06-13,49
2014-06-14,33
2014-06-15,27
2014-06-16,31
2014-06-17,34
2014-06-18,37
2014-06-19,54
2014-06-20,42
2014-06-21,53
2014-06-22,39
2014-06-23,29
2014-06-24,28
2014-06-25,41
2014-06-26,30
2014-06-27,31
2014-06-28,26
2014-06-29,27
2014-06-30,32
2014-07-01,43
2014-07-02,73
2014-07-03,100
2014-07-04,71
2014-07-05,25
2014-07-06,27
2014-07-07,27
2014-07-08,39
2014-07-09,50
2014-07-10,36
2014-07-11,24
2014-07-12,20
2014-07-13,25
2014-07-14,37
2014-07-15,40
2014-07-16,25
2014-07-17,20
2014-07-18,19
2014-07-19,25
2014-07-20,24
2014-07-21,24
2014-07-22,20
2014-07-23,24
2014-07-24,37
2014-07-25,21
2014-07-26,28
2014-07-27,39
2014-07-28,28
2014-07-29,19
2014-07-30,20
2014-07-31,25
2014-08-01,37
2014-08-02,32
2014-08-03,27
2014-08-04,23
2014-08-05,20
2014-08-06,23
2014-08-07,23
2014-08-08,26
2014-08-09,25
2014-08-10,19
2014-08-11,26
2014-08-12,33
2014-08-13,20
2014-08-14,18
2014-08-15,18
2014-08-16,21
2014-08-17,23
2014-08-18,27
2014-08-19,25
2014-08-20,24
2014-08-21,28
2014-08-22,30
2014-08-23,33
2014-08-24,21
2014-08-25,19
2014-08-26,18
2014-08-27,17
2014-08-28,18
2014-08-29,19
2014-08-30,25
2014-08-31,28
2014-09-01,27
2014-09-02,23
2014-09-03,25
2014-09-04,25
2014-09-05,28
2014-09-06,32
2014-09-07,26
2014-09-08,33
2014-09-09,30
2014-09-10, 
2014-09-11, 


Top metros for Past 90 days
Metro,Past 90 days
Harrisonburg VA,100
Charlottesville VA,95
Bluefield-Beckley-Oak Hill WV,86
Norfolk-Portsmouth-Newport News VA,84
Washington DC (Hagerstown MD),81
Tri-Cities TN-VA,80
Raleigh-Durham (Fayetteville) NC,79
Richmond-Petersburg VA,76
Greensboro-High Point-Winston Salem NC,64
Roanoke-Lynchburg VA,15


Top cities for Past 90 days
City,Past 90 days
McLean,100
Alexandria,97
Waynesboro,94
Williamsburg,94
Bon Air,81
Harrisonburg,81
Virginia Beach,81
Newport News,80
Chesapeake,78
Suffolk,77
Charlottesville,77
Gloucester Courthouse,75
Oakton,75
Blacksburg,74
Portsmouth,74



Top searches for Past 90 days
the weather,100
weather channel,100
virginia weather,75
weather forecast,75
dc weather,70
radar weather,55
weather richmond,50
virginia beach weather,40
news,40
virginia beach,40
washington weather,35
underground weather,35
weather richmond va,30
the weather channel,30
washington dc weather,25
national weather,25
google weather,25
weather va beach,20
weather today,20
noaa,20
hourly weather,20
weather norfolk,20
noaa weather,15
wavy weather,15
baltimore weather,15
williamsburg weather,15
weather map,15
national weather service,15
ocean city weather,15
weather charlottesville,15
local weather,15
yahoo weather,10
wavy 10,10
philadelphia weather,10
wavy 10 weather,10
williamsburg va weather,10
myrtle beach,10
weather norfolk va,10
weather new york,10
roanoke weather,10
myrtle beach weather,10
weather report,10
fairfax weather,10
hampton weather,10
cnn,10
weather tomorrow,10
weather nyc,10



Rising searches for Past 90 days
ocean city weather,+250%
radar weather,+110%
wavy 10,+80%
weather va beach,+80%
wavy 10 weather,+70%
wavy weather,+70%
myrtle beach,+60%
virginia beach weather,+60%
virginia beach,+50%
weather report,+50%



