Web Search interest: weather
West Virginia (United States); Past 90 days

Interest over time
Day,Past 90 days
2014-06-12,39
2014-06-13,28
2014-06-14,17
2014-06-15,23
2014-06-16,30
2014-06-17,25
2014-06-18,32
2014-06-19,45
2014-06-20,34
2014-06-21,41
2014-06-22,25
2014-06-23,21
2014-06-24,27
2014-06-25,36
2014-06-26,19
2014-06-27,21
2014-06-28,28
2014-06-29,27
2014-06-30,25
2014-07-01,32
2014-07-02,42
2014-07-03,40
2014-07-04,34
2014-07-05,24
2014-07-06,23
2014-07-07,22
2014-07-08,49
2014-07-09,25
2014-07-10,15
2014-07-11,18
2014-07-12,23
2014-07-13,44
2014-07-14,45
2014-07-15,27
2014-07-16,22
2014-07-17,19
2014-07-18,34
2014-07-19,36
2014-07-20,32
2014-07-21,21
2014-07-22,19
2014-07-23,32
2014-07-24,31
2014-07-25,22
2014-07-26,49
2014-07-27,100
2014-07-28,50
2014-07-29,28
2014-07-30,30
2014-07-31,20
2014-08-01,30
2014-08-02,42
2014-08-03,36
2014-08-04,15
2014-08-05,23
2014-08-06,23
2014-08-07,17
2014-08-08,31
2014-08-09,28
2014-08-10,24
2014-08-11,28
2014-08-12,29
2014-08-13,27
2014-08-14,20
2014-08-15,21
2014-08-16,22
2014-08-17,24
2014-08-18,25
2014-08-19,18
2014-08-20,27
2014-08-21,31
2014-08-22,31
2014-08-23,34
2014-08-24,20
2014-08-25,16
2014-08-26,17
2014-08-27,19
2014-08-28,25
2014-08-29,21
2014-08-30,23
2014-08-31,32
2014-09-01,27
2014-09-02,25
2014-09-03,17
2014-09-04,21
2014-09-05,29
2014-09-06,46
2014-09-07,23
2014-09-08,22
2014-09-09,21
2014-09-10, 
2014-09-11, 


Top metros for Past 90 days
Metro,Past 90 days
Harrisonburg VA,100
Clarksburg-Weston WV,98
Parkersburg WV,98
Pittsburgh PA,90
Bluefield-Beckley-Oak Hill WV,87
Washington DC (Hagerstown MD),82
Wheeling WV-Steubenville OH,80
Charleston-Huntington WV,76
Roanoke-Lynchburg VA,15


Top cities for Past 90 days
City,Past 90 days
Bridgeport,100
Parkersburg,94
Martinsburg,93
Beckley,90
Charleston,90
Morgantown,90
Buckhannon,88
Charles Town,83
Elkins,81
Huntington,78
Princeton,78
Switzer,77
Fairmont,76
Wheeling,76
Weirton,76



Top searches for Past 90 days
wv weather,100
weather channel,45
the weather,30
weather radar,25
charleston weather wv,20
weather forecast,15
wsaz,15
the weather channel,15
morgantown weather,10
wsaz weather,10
weather underground,10
weather morgantown wv,10
national weather service,5






