Web Search interest: weather
Virginia (United States); Past 90 days

Interest over time
Day,Past 90 days
2014-04-24,40
2014-04-25,70
2014-04-26,51
2014-04-27,46
2014-04-28,63
2014-04-29,60
2014-04-30,79
2014-05-01,50
2014-05-02,40
2014-05-03,42
2014-05-04,40
2014-05-05,45
2014-05-06,42
2014-05-07,45
2014-05-08,43
2014-05-09,53
2014-05-10,68
2014-05-11,41
2014-05-12,48
2014-05-13,50
2014-05-14,57
2014-05-15,67
2014-05-16,63
2014-05-17,41
2014-05-18,39
2014-05-19,40
2014-05-20,38
2014-05-21,49
2014-05-22,53
2014-05-23,38
2014-05-24,36
2014-05-25,30
2014-05-26,32
2014-05-27,53
2014-05-28,48
2014-05-29,51
2014-05-30,41
2014-05-31,31
2014-06-01,26
2014-06-02,33
2014-06-03,38
2014-06-04,40
2014-06-05,43
2014-06-06,26
2014-06-07,27
2014-06-08,40
2014-06-09,40
2014-06-10,42
2014-06-11,58
2014-06-12,55
2014-06-13,51
2014-06-14,34
2014-06-15,29
2014-06-16,31
2014-06-17,35
2014-06-18,40
2014-06-19,57
2014-06-20,45
2014-06-21,55
2014-06-22,40
2014-06-23,29
2014-06-24,29
2014-06-25,43
2014-06-26,33
2014-06-27,31
2014-06-28,27
2014-06-29,28
2014-06-30,33
2014-07-01,44
2014-07-02,74
2014-07-03,100
2014-07-04,73
2014-07-05,26
2014-07-06,27
2014-07-07,28
2014-07-08,41
2014-07-09,54
2014-07-10,38
2014-07-11,24
2014-07-12,21
2014-07-13,25
2014-07-14,40
2014-07-15,40
2014-07-16,25
2014-07-17,20
2014-07-18,20
2014-07-19,26
2014-07-20,26
2014-07-21, 
2014-07-22, 
2014-07-23, 


Top metros for Past 90 days
Metro,Past 90 days
Harrisonburg VA,100
Bluefield-Beckley-Oak Hill WV,98
Washington DC (Hagerstown MD),95
Norfolk-Portsmouth-Newport News VA,91
Charlottesville VA,89
Raleigh-Durham (Fayetteville) NC,85
Tri-Cities TN-VA,85
Richmond-Petersburg VA,79
Greensboro-High Point-Winston Salem NC,77
Roanoke-Lynchburg VA,41


Top cities for Past 90 days
City,Past 90 days
Alexandria,100
McLean,95
Williamsburg,90
Charlottesville,81
Harrisonburg,81
Gordonsville,80
Virginia Beach,80
Suffolk,79
Chesapeake,78
Newport News,78
Waynesboro,78
Bon Air,77
Reston,76
Norfolk,75
Oakton,74



Top searches for Past 90 days
the weather,100
weather channel,95
weather dc,80
weather forecast,65
virginia weather,60
weather richmond,50
radar weather,45
washington weather,40
news,35
richmond va weather,35
virginia beach weather,30
virginia beach,30
weather washington dc,30
the weather channel,30
weather underground,25
google weather,25
national weather,20
weather norfolk,15
hourly weather,15
weather va beach,15
weather today,15
weather baltimore,15
weather map,15
noaa,15
noaa weather,15
wavy weather,15
weather charlottesville,15
national weather service,15
local weather,15
williamsburg weather,15
wavy 10,10
weather norfolk va,10
yahoo weather,10
philadelphia weather,10
nj weather,10
fairfax weather,10
yahoo,10
roanoke weather,10
wavy 10 weather,10
ocean city weather,10
williamsburg va weather,10
weather tomorrow,10
new york weather,10
arlington weather,10
alexandria weather,10
weather in dc,10
hampton weather,10
myrtle beach weather,10
nyc weather,10



Rising searches for Past 90 days
ocean city weather,+650%
detroit weather,+200%
radar weather,+110%
weather for today,+90%
weather va beach,+80%
virginia beach,+70%
virginia beach weather,+70%
nj weather,+60%
myrtle beach weather,+50%
philadelphia weather,+50%




